shelf_id,aisle,item_weight,shelf_weight,item_category,item_subcategory,maximum_stock,current_stock,item_price,time_stamp
BEVWAT30,1,2000,932000,BEVERAGES,Water,466,333,2.44,2025-08-26 15:51:15
BEVWAT31,1,750,253500,BEVERAGES,Water,338,269,1.4,2025-08-26 15:52:15
BEVWAT32,1,750,336750,BEVERAGES,Water,449,448,2.29,2025-08-26 15:47:15
BEVWAT33,1,1500,307500,BEVERAGES,Water,205,186,0.59,2025-08-26 15:50:15
BEVWAT34,1,2000,846000,BEVERAGES,Water,423,414,1.28,2025-08-26 15:54:15
BEVWAT35,1,750,240000,BEVERAGES,Water,320,229,1.58,2025-08-26 15:47:15
BEVWAT36,1,750,152250,BEVERAGES,Water,203,202,2.43,2025-08-26 15:54:15
BEVWAT37,1,1500,724500,BEVERAGES,Water,483,355,1.59,2025-08-26 15:50:15
BEVWAT38,1,500,190000,BEVERAGES,Water,380,364,1.09,2025-08-26 15:47:15
BEVWAT39,1,2000,688000,BEVERAGES,Water,344,299,0.65,2025-08-26 15:53:15
BEVWAT40,1,500,114500,BEVERAGES,Water,229,177,2.04,2025-08-26 15:52:15
BEVWAT41,1,1500,691500,BEVERAGES,Water,461,416,1.09,2025-08-26 15:54:15
BEVWAT42,1,1000,337000,BEVERAGES,Water,337,307,0.9,2025-08-26 15:49:15
BEVWAT43,1,1000,331000,BEVERAGES,Water,331,287,2.08,2025-08-26 15:47:15
BEVWAT44,1,1000,407000,BEVERAGES,Water,407,303,0.65,2025-08-26 15:47:15
BEVWAT45,1,750,291750,BEVERAGES,Water,389,361,0.73,2025-08-26 15:49:15
BEVWAT46,1,500,119500,BEVERAGES,Water,239,173,1.75,2025-08-26 15:54:15
BEVWAT47,1,750,195750,BEVERAGES,Water,261,222,0.69,2025-08-26 15:51:15
BEVWAT48,1,2000,968000,BEVERAGES,Water,484,367,1.96,2025-08-26 15:48:15
BEVWAT49,1,1000,493000,BEVERAGES,Water,493,361,1.62,2025-08-26 15:54:15
BEVWAT50,1,1000,475000,BEVERAGES,Water,475,414,0.74,2025-08-26 15:55:15
BEVWAT51,1,1000,436000,BEVERAGES,Water,436,359,2.02,2025-08-26 15:49:15
BEVWAT52,1,750,248250,BEVERAGES,Water,331,330,0.97,2025-08-26 15:48:15
BEVWAT53,1,1000,449000,BEVERAGES,Water,449,369,1.55,2025-08-26 15:50:15
BEVFRU1,1,1000,390000,BEVERAGES,Fruit-based Soft Drinks,390,306,1.22,2025-08-26 15:55:15
BEVFRU2,1,1500,547500,BEVERAGES,Fruit-based Soft Drinks,365,266,1.22,2025-08-26 15:55:15
BEVFRU3,1,1000,150000,BEVERAGES,Fruit-based Soft Drinks,150,111,2.79,2025-08-26 15:49:15
BEVFRU4,1,330,103290,BEVERAGES,Fruit-based Soft Drinks,313,248,1.63,2025-08-26 15:47:15
BEVFRU5,1,1500,232500,BEVERAGES,Fruit-based Soft Drinks,155,139,2.39,2025-08-26 15:47:15
BEVFRU6,1,330,91740,BEVERAGES,Fruit-based Soft Drinks,278,266,1.5,2025-08-26 15:50:15
BEVFRU7,1,330,87780,BEVERAGES,Fruit-based Soft Drinks,266,187,2.08,2025-08-26 15:48:15
BEVFRU8,1,330,92070,BEVERAGES,Fruit-based Soft Drinks,279,221,1.46,2025-08-26 15:56:15
BEVFRU9,1,1500,462000,BEVERAGES,Fruit-based Soft Drinks,308,281,2.2,2025-08-26 15:55:15
BEVFRU10,1,1000,283000,BEVERAGES,Fruit-based Soft Drinks,283,228,1.32,2025-08-26 15:47:15
BEVFRU11,1,500,130000,BEVERAGES,Fruit-based Soft Drinks,260,208,2.25,2025-08-26 15:53:15
BEVFRU12,1,500,124000,BEVERAGES,Fruit-based Soft Drinks,248,240,2.27,2025-08-26 15:48:15
BEVFRU13,1,500,160000,BEVERAGES,Fruit-based Soft Drinks,320,274,1.91,2025-08-26 15:50:15
BEVFRU14,1,1500,444000,BEVERAGES,Fruit-based Soft Drinks,296,292,1.37,2025-08-26 15:47:15
BEVFRU15,1,500,153500,BEVERAGES,Fruit-based Soft Drinks,307,226,2.77,2025-08-26 15:52:15
BEVFRU16,1,1500,319500,BEVERAGES,Fruit-based Soft Drinks,213,162,2.61,2025-08-26 15:49:15
BEVFRU17,1,1500,516000,BEVERAGES,Fruit-based Soft Drinks,344,296,1.71,2025-08-26 15:50:15
BEVFRU18,1,500,125000,BEVERAGES,Fruit-based Soft Drinks,250,228,1.22,2025-08-26 15:48:15
BEVFRU19,1,330,56760,BEVERAGES,Fruit-based Soft Drinks,172,145,2.3,2025-08-26 15:56:15
BEVFRU20,1,330,54450,BEVERAGES,Fruit-based Soft Drinks,165,150,2.64,2025-08-26 15:56:15
BEVFRU21,1,330,82830,BEVERAGES,Fruit-based Soft Drinks,251,237,1.61,2025-08-26 15:48:15
BEVFRU22,1,500,142500,BEVERAGES,Fruit-based Soft Drinks,285,228,2.02,2025-08-26 15:55:15
BEVFRU23,1,330,65670,BEVERAGES,Fruit-based Soft Drinks,199,180,1.97,2025-08-26 15:53:15
BEVFRU24,1,330,86790,BEVERAGES,Fruit-based Soft Drinks,263,216,1.24,2025-08-26 15:47:15
BEVFRU25,1,1500,306000,BEVERAGES,Fruit-based Soft Drinks,204,177,1.49,2025-08-26 15:52:15
BEVFRU26,1,1000,328000,BEVERAGES,Fruit-based Soft Drinks,328,261,1.65,2025-08-26 15:56:15
BEVFRU27,1,1500,237000,BEVERAGES,Fruit-based Soft Drinks,158,157,2.12,2025-08-26 15:52:15
BEVFRU28,1,1500,228000,BEVERAGES,Fruit-based Soft Drinks,152,142,1.73,2025-08-26 15:55:15
BEVFRU29,1,330,110880,BEVERAGES,Fruit-based Soft Drinks,336,263,1.51,2025-08-26 15:50:15
BEVFRU30,1,1500,466500,BEVERAGES,Fruit-based Soft Drinks,311,220,1.5,2025-08-26 15:52:15
BEVFRU31,1,500,183000,BEVERAGES,Fruit-based Soft Drinks,366,351,2.42,2025-08-26 15:54:15
BEVFRU32,1,330,49830,BEVERAGES,Fruit-based Soft Drinks,151,108,1.57,2025-08-26 15:48:15
BEVFRU33,1,330,110220,BEVERAGES,Fruit-based Soft Drinks,334,286,1.53,2025-08-26 15:56:15
BEVFRU34,1,500,167000,BEVERAGES,Fruit-based Soft Drinks,334,294,2.01,2025-08-26 15:51:15
BEVFRU35,1,500,191000,BEVERAGES,Fruit-based Soft Drinks,382,289,1.07,2025-08-26 15:51:15
BEVFRU36,1,1500,304500,BEVERAGES,Fruit-based Soft Drinks,203,154,2.82,2025-08-26 15:49:15
BEVFRU37,1,1000,374000,BEVERAGES,Fruit-based Soft Drinks,374,293,2.36,2025-08-26 15:51:15
BEVFRU38,1,330,120450,BEVERAGES,Fruit-based Soft Drinks,365,291,1.98,2025-08-26 15:53:15
BEVFRU39,1,1500,315000,BEVERAGES,Fruit-based Soft Drinks,210,201,2.11,2025-08-26 15:56:15
BEVFRU40,1,1000,223000,BEVERAGES,Fruit-based Soft Drinks,223,198,2.34,2025-08-26 15:48:15
BEVFRU41,1,1000,290000,BEVERAGES,Fruit-based Soft Drinks,290,258,1.74,2025-08-26 15:47:15
BEVFRU42,1,330,106260,BEVERAGES,Fruit-based Soft Drinks,322,280,2.46,2025-08-26 15:55:15
BEVFRU43,1,1500,550500,BEVERAGES,Fruit-based Soft Drinks,367,328,1.94,2025-08-26 15:54:15
BEVFRU44,1,500,161500,BEVERAGES,Fruit-based Soft Drinks,323,248,2.27,2025-08-26 15:53:15
BEVFRU45,1,1000,256000,BEVERAGES,Fruit-based Soft Drinks,256,188,2.63,2025-08-26 15:52:15
BEVFRU46,1,1500,237000,BEVERAGES,Fruit-based Soft Drinks,158,151,2.67,2025-08-26 15:56:15
BEVFRU47,1,1500,379500,BEVERAGES,Fruit-based Soft Drinks,253,178,2.02,2025-08-26 15:49:15
BEVFRU48,1,1500,481500,BEVERAGES,Fruit-based Soft Drinks,321,240,1.08,2025-08-26 15:54:15
BEVFRU49,1,1500,334500,BEVERAGES,Fruit-based Soft Drinks,223,174,1.65,2025-08-26 15:49:15
BEVFRU50,1,1500,313500,BEVERAGES,Fruit-based Soft Drinks,209,192,1.03,2025-08-26 15:54:15
BEVFRU51,1,1000,281000,BEVERAGES,Fruit-based Soft Drinks,281,253,2.62,2025-08-26 15:48:15
BEVFRU52,1,1500,358500,BEVERAGES,Fruit-based Soft Drinks,239,235,2.29,2025-08-26 15:47:15
BEVFRU53,1,1500,496500,BEVERAGES,Fruit-based Soft Drinks,331,243,2.88,2025-08-26 15:48:15
BEVFRU54,1,1500,462000,BEVERAGES,Fruit-based Soft Drinks,308,250,1.77,2025-08-26 15:56:15
BEVFRU55,1,500,104500,BEVERAGES,Fruit-based Soft Drinks,209,155,2.68,2025-08-26 15:48:15
BEVFRU56,1,1000,252000,BEVERAGES,Fruit-based Soft Drinks,252,234,1.68,2025-08-26 15:50:15
BEVFRU57,1,330,63030,BEVERAGES,Fruit-based Soft Drinks,191,184,1.42,2025-08-26 15:47:15
BEVFRU58,1,1000,346000,BEVERAGES,Fruit-based Soft Drinks,346,251,2.75,2025-08-26 15:48:15
BEVFRU59,1,1000,311000,BEVERAGES,Fruit-based Soft Drinks,311,258,1.46,2025-08-26 15:55:15
BEVCOL1,1,1500,390000,BEVERAGES,Cola Soft Drinks,260,216,3.08,2025-08-26 15:55:15
BEVCOL2,1,330,72600,BEVERAGES,Cola Soft Drinks,220,210,2.39,2025-08-26 15:51:15
BEVCOL3,1,330,90090,BEVERAGES,Cola Soft Drinks,273,244,1.76,2025-08-26 15:54:15
BEVCOL4,1,1500,240000,BEVERAGES,Cola Soft Drinks,160,122,3.42,2025-08-26 15:49:15
BEVCOL5,1,330,51480,BEVERAGES,Cola Soft Drinks,156,131,3.27,2025-08-26 15:48:15
BEVCOL6,1,1000,264000,BEVERAGES,Cola Soft Drinks,264,202,1.63,2025-08-26 15:51:15
BEVCOL7,1,330,79200,BEVERAGES,Cola Soft Drinks,240,182,2.0,2025-08-26 15:56:15
BEVCOL8,1,1500,276000,BEVERAGES,Cola Soft Drinks,184,170,3.15,2025-08-26 15:53:15
BEVCOL9,1,1500,477000,BEVERAGES,Cola Soft Drinks,318,316,3.24,2025-08-26 15:51:15
BEVCOL10,1,1500,238500,BEVERAGES,Cola Soft Drinks,159,128,3.24,2025-08-26 15:47:15
BEVCOL11,1,1500,351000,BEVERAGES,Cola Soft Drinks,234,219,1.39,2025-08-26 15:50:15
BEVCOL12,1,1500,435000,BEVERAGES,Cola Soft Drinks,290,228,3.01,2025-08-26 15:52:15
BEVCOL13,1,1500,433500,BEVERAGES,Cola Soft Drinks,289,238,2.59,2025-08-26 15:55:15
BEVCOL14,1,1000,381000,BEVERAGES,Cola Soft Drinks,381,375,2.06,2025-08-26 15:54:15
BEVCOL15,1,330,71940,BEVERAGES,Cola Soft Drinks,218,203,2.73,2025-08-26 15:47:15
BEVCOL16,1,330,127380,BEVERAGES,Cola Soft Drinks,386,283,1.85,2025-08-26 15:53:15
BEVCOL17,1,500,132500,BEVERAGES,Cola Soft Drinks,265,192,2.46,2025-08-26 15:49:15
BEVCOL18,1,500,170500,BEVERAGES,Cola Soft Drinks,341,311,2.23,2025-08-26 15:47:15
BEVCOL19,1,330,82830,BEVERAGES,Cola Soft Drinks,251,196,1.72,2025-08-26 15:48:15
BEVCOL20,1,330,89760,BEVERAGES,Cola Soft Drinks,272,252,1.24,2025-08-26 15:54:15
BEVCOL21,1,500,76000,BEVERAGES,Cola Soft Drinks,152,143,1.95,2025-08-26 15:47:15
BEVCOL22,1,1500,232500,BEVERAGES,Cola Soft Drinks,155,121,2.04,2025-08-26 15:48:15
BEVCOL23,1,1500,591000,BEVERAGES,Cola Soft Drinks,394,357,3.15,2025-08-26 15:47:15
BEVCOL24,1,330,92070,BEVERAGES,Cola Soft Drinks,279,250,1.91,2025-08-26 15:51:15
BEVCOL25,1,1500,268500,BEVERAGES,Cola Soft Drinks,179,143,1.42,2025-08-26 15:50:15
BEVCOL26,1,1000,259000,BEVERAGES,Cola Soft Drinks,259,251,2.66,2025-08-26 15:47:15
BEVCOL27,1,500,141000,BEVERAGES,Cola Soft Drinks,282,227,1.76,2025-08-26 15:47:15
BEVCOL28,1,500,149500,BEVERAGES,Cola Soft Drinks,299,287,3.45,2025-08-26 15:50:15
BEVCOL29,1,1000,279000,BEVERAGES,Cola Soft Drinks,279,273,3.25,2025-08-26 15:54:15
BEVCOL30,1,1000,221000,BEVERAGES,Cola Soft Drinks,221,202,2.2,2025-08-26 15:56:15
BEVCOL31,1,330,113850,BEVERAGES,Cola Soft Drinks,345,298,2.36,2025-08-26 15:54:15
BEVCOL32,1,1500,342000,BEVERAGES,Cola Soft Drinks,228,191,2.74,2025-08-26 15:47:15
BEVCOL33,1,330,80190,BEVERAGES,Cola Soft Drinks,243,207,1.65,2025-08-26 15:49:15
BEVCOL34,1,330,95370,BEVERAGES,Cola Soft Drinks,289,267,2.35,2025-08-26 15:55:15
BEVCOL35,1,1500,445500,BEVERAGES,Cola Soft Drinks,297,274,1.26,2025-08-26 15:49:15
BEVCOL36,1,330,62040,BEVERAGES,Cola Soft Drinks,188,137,1.3,2025-08-26 15:49:15
BEVCOL37,1,1500,534000,BEVERAGES,Cola Soft Drinks,356,316,3.36,2025-08-26 15:52:15
BEVICE1,1,330,68310,BEVERAGES,Iced Tea,207,198,1.5,2025-08-26 15:48:15
BEVICE2,1,500,106000,BEVERAGES,Iced Tea,212,184,1.67,2025-08-26 15:52:15
BEVICE3,1,330,60060,BEVERAGES,Iced Tea,182,169,2.72,2025-08-26 15:47:15
BEVICE4,1,330,65670,BEVERAGES,Iced Tea,199,177,1.77,2025-08-26 15:48:15
BEVICE5,1,330,93060,BEVERAGES,Iced Tea,282,277,2.03,2025-08-26 15:47:15
BEVICE6,1,1500,429000,BEVERAGES,Iced Tea,286,268,2.54,2025-08-26 15:53:15
BEVICE7,1,1000,180000,BEVERAGES,Iced Tea,180,176,1.55,2025-08-26 15:49:15
BEVICE8,1,1500,522000,BEVERAGES,Iced Tea,348,320,2.53,2025-08-26 15:47:15
BEVICE9,1,1500,469500,BEVERAGES,Iced Tea,313,293,1.87,2025-08-26 15:48:15
BEVICE10,1,500,174000,BEVERAGES,Iced Tea,348,264,2.0,2025-08-26 15:54:15
BEVICE11,1,1000,289000,BEVERAGES,Iced Tea,289,215,2.52,2025-08-26 15:56:15
BEVICE12,1,1000,314000,BEVERAGES,Iced Tea,314,289,2.03,2025-08-26 15:48:15
BEVICE13,1,1500,399000,BEVERAGES,Iced Tea,266,263,1.38,2025-08-26 15:53:15
BEVICE14,1,1000,327000,BEVERAGES,Iced Tea,327,281,2.78,2025-08-26 15:50:15
BEVICE15,1,500,111000,BEVERAGES,Iced Tea,222,194,1.46,2025-08-26 15:54:15
BEVICE16,1,500,80000,BEVERAGES,Iced Tea,160,125,2.58,2025-08-26 15:51:15
BEVICE17,1,330,101310,BEVERAGES,Iced Tea,307,237,2.53,2025-08-26 15:49:15
BEVICE18,1,330,82170,BEVERAGES,Iced Tea,249,212,2.26,2025-08-26 15:55:15
BEVICE19,1,1500,517500,BEVERAGES,Iced Tea,345,273,2.0,2025-08-26 15:47:15
BEVICE20,1,500,88500,BEVERAGES,Iced Tea,177,176,2.46,2025-08-26 15:52:15
BEVICE21,1,1000,290000,BEVERAGES,Iced Tea,290,285,1.46,2025-08-26 15:50:15
BEVICE22,1,1500,309000,BEVERAGES,Iced Tea,206,203,2.64,2025-08-26 15:47:15
BEVICE23,1,500,126000,BEVERAGES,Iced Tea,252,191,1.01,2025-08-26 15:55:15
BEVICE24,1,1500,466500,BEVERAGES,Iced Tea,311,241,2.44,2025-08-26 15:50:15
BEVICE25,1,330,60390,BEVERAGES,Iced Tea,183,135,1.13,2025-08-26 15:49:15
BEVICE26,1,500,121500,BEVERAGES,Iced Tea,243,180,2.43,2025-08-26 15:53:15
BEVICE27,1,1500,346500,BEVERAGES,Iced Tea,231,197,2.6,2025-08-26 15:53:15
BEVICE28,1,1000,313000,BEVERAGES,Iced Tea,313,258,1.68,2025-08-26 15:49:15
BEVICE29,1,500,149000,BEVERAGES,Iced Tea,298,259,1.79,2025-08-26 15:48:15
BEVICE30,1,1000,221000,BEVERAGES,Iced Tea,221,177,1.06,2025-08-26 15:54:15
BEVICE31,1,330,70290,BEVERAGES,Iced Tea,213,196,1.28,2025-08-26 15:52:15
BEVENE1,1,330,45540,BEVERAGES,Energy Drinks,138,96,2.22,2025-08-26 15:47:15
BEVENE2,1,330,58080,BEVERAGES,Energy Drinks,176,151,3.65,2025-08-26 15:52:15
BEVENE3,1,250,59750,BEVERAGES,Energy Drinks,239,207,1.59,2025-08-26 15:54:15
BEVENE4,1,330,52800,BEVERAGES,Energy Drinks,160,156,2.26,2025-08-26 15:47:15
BEVENE5,1,500,114500,BEVERAGES,Energy Drinks,229,165,1.82,2025-08-26 15:53:15
BEVENE6,1,250,40750,BEVERAGES,Energy Drinks,163,116,3.57,2025-08-26 15:47:15
BEVENE7,1,250,27500,BEVERAGES,Energy Drinks,110,109,2.64,2025-08-26 15:48:15
BEVENE8,1,330,68310,BEVERAGES,Energy Drinks,207,195,1.63,2025-08-26 15:51:15
BEVENE9,1,330,54120,BEVERAGES,Energy Drinks,164,139,2.85,2025-08-26 15:56:15
BEVENE10,1,500,78500,BEVERAGES,Energy Drinks,157,134,1.85,2025-08-26 15:53:15
BEVENE11,1,250,58750,BEVERAGES,Energy Drinks,235,185,3.92,2025-08-26 15:54:15
BEVENE12,1,330,33990,BEVERAGES,Energy Drinks,103,88,2.31,2025-08-26 15:47:15
BEVENE13,1,250,28750,BEVERAGES,Energy Drinks,115,105,2.5,2025-08-26 15:52:15
BEVENE14,1,500,105500,BEVERAGES,Energy Drinks,211,180,2.6,2025-08-26 15:51:15
BEVENE15,1,500,67500,BEVERAGES,Energy Drinks,135,111,2.13,2025-08-26 15:55:15
BEVENE16,1,330,71940,BEVERAGES,Energy Drinks,218,179,3.91,2025-08-26 15:49:15
BEVENE17,1,500,63000,BEVERAGES,Energy Drinks,126,108,2.57,2025-08-26 15:56:15
BEVENE18,1,250,51750,BEVERAGES,Energy Drinks,207,157,1.65,2025-08-26 15:48:15
BEVENE19,1,330,51480,BEVERAGES,Energy Drinks,156,155,1.89,2025-08-26 15:51:15
BEVENE20,1,330,36300,BEVERAGES,Energy Drinks,110,91,2.1,2025-08-26 15:55:15
BEVENE21,1,330,66660,BEVERAGES,Energy Drinks,202,175,3.29,2025-08-26 15:53:15
BEVENE22,1,250,57500,BEVERAGES,Energy Drinks,230,204,2.2,2025-08-26 15:56:15
BEVENE23,1,250,50250,BEVERAGES,Energy Drinks,201,148,3.34,2025-08-26 15:56:15
BEVENE24,1,500,87000,BEVERAGES,Energy Drinks,174,135,2.59,2025-08-26 15:50:15
BEVENE25,1,250,52000,BEVERAGES,Energy Drinks,208,186,2.55,2025-08-26 15:48:15
BEVENE26,1,330,40920,BEVERAGES,Energy Drinks,124,108,2.39,2025-08-26 15:51:15
BEVENE27,1,250,43500,BEVERAGES,Energy Drinks,174,156,1.8,2025-08-26 15:55:15
BEVENE28,1,250,62250,BEVERAGES,Energy Drinks,249,238,1.79,2025-08-26 15:49:15
BEVENE29,1,250,54500,BEVERAGES,Energy Drinks,218,174,1.74,2025-08-26 15:48:15
BEVENE30,1,330,54450,BEVERAGES,Energy Drinks,165,147,3.64,2025-08-26 15:52:15
BEVENE31,1,250,37500,BEVERAGES,Energy Drinks,150,126,2.69,2025-08-26 15:49:15
BEVENE32,1,330,65010,BEVERAGES,Energy Drinks,197,138,3.41,2025-08-26 15:53:15
BEVENE33,1,250,51750,BEVERAGES,Energy Drinks,207,152,2.68,2025-08-26 15:51:15
BEVENE34,1,250,57500,BEVERAGES,Energy Drinks,230,178,2.66,2025-08-26 15:47:15
BEVENE35,1,250,36000,BEVERAGES,Energy Drinks,144,101,2.5,2025-08-26 15:55:15
BEVENE36,1,330,56100,BEVERAGES,Energy Drinks,170,134,3.87,2025-08-26 15:50:15
BEVENE37,1,330,64680,BEVERAGES,Energy Drinks,196,138,2.15,2025-08-26 15:53:15
BEVENE38,1,330,68310,BEVERAGES,Energy Drinks,207,183,3.06,2025-08-26 15:55:15
BEVENE39,1,330,47850,BEVERAGES,Energy Drinks,145,110,2.75,2025-08-26 15:51:15
BEVENE40,1,250,58250,BEVERAGES,Energy Drinks,233,182,3.21,2025-08-26 15:47:15
BEVENE41,1,500,122000,BEVERAGES,Energy Drinks,244,210,3.86,2025-08-26 15:55:15
BEVENE42,1,500,79000,BEVERAGES,Energy Drinks,158,150,3.5,2025-08-26 15:53:15
BEVFLA1,1,1000,389000,BEVERAGES,Flavored Water,389,376,1.86,2025-08-26 15:55:15
BEVFLA2,1,500,146000,BEVERAGES,Flavored Water,292,286,1.69,2025-08-26 15:48:15
BEVFLA3,1,1500,426000,BEVERAGES,Flavored Water,284,212,2.23,2025-08-26 15:48:15
BEVFLA4,1,1500,456000,BEVERAGES,Flavored Water,304,230,2.23,2025-08-26 15:55:15
BEVFLA5,1,1000,302000,BEVERAGES,Flavored Water,302,282,1.31,2025-08-26 15:50:15
BEVFLA6,1,500,105500,BEVERAGES,Flavored Water,211,189,1.1,2025-08-26 15:54:15
BEVFLA7,1,1500,331500,BEVERAGES,Flavored Water,221,209,1.57,2025-08-26 15:47:15
BEVFLA8,1,500,199500,BEVERAGES,Flavored Water,399,363,1.14,2025-08-26 15:51:15
BEVFLA9,1,1500,301500,BEVERAGES,Flavored Water,201,143,1.5,2025-08-26 15:49:15
BEVFLA10,1,1000,322000,BEVERAGES,Flavored Water,322,287,1.48,2025-08-26 15:52:15
BEVJUI1,1,500,96000,BEVERAGES,Juices,192,158,3.54,2025-08-26 15:47:15
BEVJUI2,1,500,148500,BEVERAGES,Juices,297,229,3.94,2025-08-26 15:54:15
BEVJUI3,1,200,57000,BEVERAGES,Juices,285,246,2.99,2025-08-26 15:55:15
BEVJUI4,1,500,90500,BEVERAGES,Juices,181,168,3.59,2025-08-26 15:52:15
BEVJUI5,1,200,54400,BEVERAGES,Juices,272,196,4.31,2025-08-26 15:50:15
BEVJUI6,1,1500,228000,BEVERAGES,Juices,152,120,3.71,2025-08-26 15:56:15
BEVJUI7,1,200,59400,BEVERAGES,Juices,297,278,4.4,2025-08-26 15:48:15
BEVJUI8,1,1500,225000,BEVERAGES,Juices,150,134,2.03,2025-08-26 15:53:15
BEVJUI9,1,200,44000,BEVERAGES,Juices,220,180,3.21,2025-08-26 15:48:15
BEVJUI10,1,1000,164000,BEVERAGES,Juices,164,162,4.47,2025-08-26 15:47:15
BEVJUI11,1,1500,388500,BEVERAGES,Juices,259,222,1.88,2025-08-26 15:55:15
BEVJUI12,1,200,51000,BEVERAGES,Juices,255,253,3.83,2025-08-26 15:51:15
BEVJUI13,1,1500,306000,BEVERAGES,Juices,204,183,4.1,2025-08-26 15:48:15
BEVJUI14,1,1500,388500,BEVERAGES,Juices,259,257,4.08,2025-08-26 15:52:15
BEVJUI15,1,200,57000,BEVERAGES,Juices,285,277,3.54,2025-08-26 15:51:15
BEVJUI16,1,1000,219000,BEVERAGES,Juices,219,164,3.76,2025-08-26 15:47:15
BEVJUI17,1,200,53200,BEVERAGES,Juices,266,220,2.63,2025-08-26 15:50:15
BEVJUI18,1,200,57000,BEVERAGES,Juices,285,223,3.02,2025-08-26 15:54:15
BEVJUI19,1,1500,316500,BEVERAGES,Juices,211,187,2.67,2025-08-26 15:56:15
BEVJUI20,1,200,54600,BEVERAGES,Juices,273,249,4.19,2025-08-26 15:52:15
BEVJUI21,1,200,34200,BEVERAGES,Juices,171,139,1.66,2025-08-26 15:52:15
BEVJUI22,1,200,30800,BEVERAGES,Juices,154,115,4.22,2025-08-26 15:56:15
BEVJUI23,1,1500,394500,BEVERAGES,Juices,263,241,2.56,2025-08-26 15:52:15
BEVJUI24,1,1500,252000,BEVERAGES,Juices,168,157,4.35,2025-08-26 15:51:15
BEVJUI25,1,1500,394500,BEVERAGES,Juices,263,188,2.95,2025-08-26 15:52:15
BEVJUI26,1,500,117500,BEVERAGES,Juices,235,168,3.4,2025-08-26 15:51:15
BEVJUI27,1,200,31800,BEVERAGES,Juices,159,146,1.78,2025-08-26 15:50:15
BEVJUI28,1,1500,319500,BEVERAGES,Juices,213,179,2.49,2025-08-26 15:51:15
BEVJUI29,1,1000,165000,BEVERAGES,Juices,165,121,2.14,2025-08-26 15:52:15
BEVJUI30,1,200,34600,BEVERAGES,Juices,173,169,3.87,2025-08-26 15:47:15
BEVJUI31,1,200,49400,BEVERAGES,Juices,247,179,1.84,2025-08-26 15:54:15
BEVJUI32,1,200,56600,BEVERAGES,Juices,283,200,2.98,2025-08-26 15:48:15
BEVJUI33,1,1000,277000,BEVERAGES,Juices,277,269,4.49,2025-08-26 15:53:15
