shelf_id,aisle,item_weight,shelf_weight,item_category,item_subcategory,item_visibility,maximum_stock,current_stock,item_price,time_stamp
BEVWAT19,1,2000,68000,BEVERAGES,Water,0.155028,34,27,1.4,2025-08-25 16:03:36
BEVWAT20,1,750,18000,BEVERAGES,Water,0.1984,24,22,2.4,2025-08-25 16:07:36
BEVWAT21,1,1500,64500,BEVERAGES,Water,0.104327,43,39,1.63,2025-08-25 16:05:36
BEVWAT22,1,750,40500,BEVERAGES,Water,0.1684,54,39,1.11,2025-08-25 16:08:36
BEVWAT23,1,2000,94000,BEVERAGES,Water,0.148367,47,37,0.96,2025-08-25 16:01:36
BEVWAT24,1,1500,78000,BEVERAGES,Water,0.115043,52,36,1.38,2025-08-25 16:02:36
BEVWAT25,1,1500,48000,BEVERAGES,Water,0.110489,32,30,1.49,2025-08-25 16:06:36
BEVWAT26,1,1000,55000,BEVERAGES,Water,0.105241,55,54,2.32,2025-08-25 16:06:36
BEVWAT27,1,1500,60000,BEVERAGES,Water,0.14624,40,38,0.86,2025-08-25 16:02:36
BEVWAT28,1,1500,30000,BEVERAGES,Water,0.126252,20,19,1.12,2025-08-25 16:10:36
BEVWAT29,1,750,30750,BEVERAGES,Water,0.161363,41,39,1.64,2025-08-25 16:01:36
BEVWAT30,1,2000,50000,BEVERAGES,Water,0.074334,25,21,2.44,2025-08-25 16:09:36
BEVWAT31,1,750,33750,BEVERAGES,Water,0.153226,45,43,1.4,2025-08-25 16:01:36
BEVWAT32,1,750,31500,BEVERAGES,Water,0.191296,42,39,2.29,2025-08-25 16:10:36
BEVWAT33,1,1500,73500,BEVERAGES,Water,0.053033,49,45,0.59,2025-08-25 16:10:36
BEVWAT34,1,2000,106000,BEVERAGES,Water,0.052134,53,39,1.28,2025-08-25 16:04:36
BEVWAT35,1,750,30000,BEVERAGES,Water,0.160929,40,29,1.58,2025-08-25 16:09:36
BEVWAT36,1,750,28500,BEVERAGES,Water,0.096476,38,36,2.43,2025-08-25 16:09:36
BEVWAT37,1,1500,34500,BEVERAGES,Water,0.087829,23,20,1.59,2025-08-25 16:08:36
BEVWAT38,1,500,25500,BEVERAGES,Water,0.102501,51,43,1.09,2025-08-25 16:10:36
BEVWAT39,1,2000,80000,BEVERAGES,Water,0.14389,40,28,0.65,2025-08-25 16:01:36
BEVWAT40,1,500,17000,BEVERAGES,Water,0.081581,34,30,2.04,2025-08-25 16:01:36
BEVWAT41,1,1500,75000,BEVERAGES,Water,0.091055,50,39,1.09,2025-08-25 16:02:36
BEVWAT42,1,1000,33000,BEVERAGES,Water,0.18582,33,30,0.9,2025-08-25 16:06:36
BEVWAT43,1,1000,58000,BEVERAGES,Water,0.150696,58,50,2.08,2025-08-25 16:03:36
BEVWAT44,1,1000,38000,BEVERAGES,Water,0.150087,38,27,0.65,2025-08-25 16:05:36
BEVWAT45,1,750,21000,BEVERAGES,Water,0.175157,28,25,0.73,2025-08-25 16:07:36
BEVWAT46,1,500,28000,BEVERAGES,Water,0.078301,56,49,1.75,2025-08-25 16:07:36
BEVWAT47,1,750,22500,BEVERAGES,Water,0.095276,30,28,0.69,2025-08-25 16:09:36
BEVWAT48,1,2000,78000,BEVERAGES,Water,0.172922,39,34,1.96,2025-08-25 16:10:36
BEVWAT49,1,1000,41000,BEVERAGES,Water,0.051213,41,40,1.62,2025-08-25 16:05:36
BEVWAT50,1,1000,46000,BEVERAGES,Water,0.067984,46,35,0.74,2025-08-25 16:05:36
BEVWAT51,1,1000,31000,BEVERAGES,Water,0.14917,31,28,2.02,2025-08-25 16:06:36
BEVWAT52,1,750,31500,BEVERAGES,Water,0.058535,42,33,0.97,2025-08-25 16:06:36
BEVWAT53,1,1000,59000,BEVERAGES,Water,0.092888,59,57,1.55,2025-08-25 16:09:36
BEVFRU1,1,1000,40000,BEVERAGES,Fruit-based Soft Drinks,0.154482,40,33,1.22,2025-08-25 16:04:36
BEVFRU2,1,1500,33000,BEVERAGES,Fruit-based Soft Drinks,0.090059,22,21,1.22,2025-08-25 16:01:36
BEVFRU3,1,1000,41000,BEVERAGES,Fruit-based Soft Drinks,0.066588,41,36,2.79,2025-08-25 16:08:36
BEVFRU4,1,330,14850,BEVERAGES,Fruit-based Soft Drinks,0.13157,45,37,1.63,2025-08-25 16:08:36
BEVFRU5,1,1500,30000,BEVERAGES,Fruit-based Soft Drinks,0.181138,20,15,2.39,2025-08-25 16:08:36
BEVFRU6,1,330,13860,BEVERAGES,Fruit-based Soft Drinks,0.165996,42,31,1.5,2025-08-25 16:06:36
BEVFRU7,1,330,11550,BEVERAGES,Fruit-based Soft Drinks,0.101975,35,28,2.08,2025-08-25 16:05:36
BEVFRU8,1,330,8250,BEVERAGES,Fruit-based Soft Drinks,0.184556,25,22,1.46,2025-08-25 16:03:36
BEVFRU9,1,1500,31500,BEVERAGES,Fruit-based Soft Drinks,0.135536,21,20,2.2,2025-08-25 16:02:36
BEVFRU10,1,1000,46000,BEVERAGES,Fruit-based Soft Drinks,0.109975,46,43,1.32,2025-08-25 16:08:36
BEVFRU11,1,500,11000,BEVERAGES,Fruit-based Soft Drinks,0.141847,22,17,2.25,2025-08-25 16:04:36
BEVFRU12,1,500,22000,BEVERAGES,Fruit-based Soft Drinks,0.184237,44,40,2.27,2025-08-25 16:06:36
BEVFRU13,1,500,22000,BEVERAGES,Fruit-based Soft Drinks,0.163866,44,37,1.91,2025-08-25 16:04:36
BEVFRU14,1,1500,61500,BEVERAGES,Fruit-based Soft Drinks,0.092248,41,32,1.37,2025-08-25 16:08:36
BEVFRU15,1,500,10500,BEVERAGES,Fruit-based Soft Drinks,0.089373,21,19,2.77,2025-08-25 16:08:36
BEVFRU16,1,1500,51000,BEVERAGES,Fruit-based Soft Drinks,0.14506,34,32,2.61,2025-08-25 16:01:36
BEVFRU17,1,1500,51000,BEVERAGES,Fruit-based Soft Drinks,0.116053,34,27,1.71,2025-08-25 16:05:36
BEVFRU18,1,500,18000,BEVERAGES,Fruit-based Soft Drinks,0.121264,36,34,1.22,2025-08-25 16:06:36
BEVFRU19,1,330,10560,BEVERAGES,Fruit-based Soft Drinks,0.05168,32,22,2.3,2025-08-25 16:02:36
BEVFRU20,1,330,7590,BEVERAGES,Fruit-based Soft Drinks,0.149652,23,17,2.64,2025-08-25 16:10:36
BEVFRU21,1,330,5280,BEVERAGES,Fruit-based Soft Drinks,0.079651,16,13,1.61,2025-08-25 16:09:36
BEVFRU22,1,500,14000,BEVERAGES,Fruit-based Soft Drinks,0.193139,28,20,2.02,2025-08-25 16:03:36
BEVFRU23,1,330,13860,BEVERAGES,Fruit-based Soft Drinks,0.060189,42,38,1.97,2025-08-25 16:03:36
BEVFRU24,1,330,14850,BEVERAGES,Fruit-based Soft Drinks,0.058784,45,35,1.24,2025-08-25 16:03:36
BEVFRU25,1,1500,48000,BEVERAGES,Fruit-based Soft Drinks,0.14965,32,29,1.49,2025-08-25 16:06:36
BEVFRU26,1,1000,41000,BEVERAGES,Fruit-based Soft Drinks,0.140436,41,40,1.65,2025-08-25 16:09:36
BEVFRU27,1,1500,67500,BEVERAGES,Fruit-based Soft Drinks,0.057005,45,34,2.12,2025-08-25 16:02:36
BEVFRU28,1,1500,72000,BEVERAGES,Fruit-based Soft Drinks,0.116388,48,38,1.73,2025-08-25 16:08:36
BEVFRU29,1,330,10230,BEVERAGES,Fruit-based Soft Drinks,0.054145,31,29,1.51,2025-08-25 16:08:36
BEVFRU30,1,1500,22500,BEVERAGES,Fruit-based Soft Drinks,0.182985,15,11,1.5,2025-08-25 16:10:36
BEVFRU31,1,500,15500,BEVERAGES,Fruit-based Soft Drinks,0.119468,31,26,2.42,2025-08-25 16:09:36
BEVFRU32,1,330,10560,BEVERAGES,Fruit-based Soft Drinks,0.110528,32,30,1.57,2025-08-25 16:01:36
BEVFRU33,1,330,7920,BEVERAGES,Fruit-based Soft Drinks,0.10746,24,18,1.53,2025-08-25 16:07:36
BEVFRU34,1,500,7500,BEVERAGES,Fruit-based Soft Drinks,0.11569,15,11,2.01,2025-08-25 16:02:36
BEVFRU35,1,500,7500,BEVERAGES,Fruit-based Soft Drinks,0.194651,15,11,1.07,2025-08-25 16:08:36
BEVFRU36,1,1500,61500,BEVERAGES,Fruit-based Soft Drinks,0.070008,41,38,2.82,2025-08-25 16:04:36
BEVFRU37,1,1000,22000,BEVERAGES,Fruit-based Soft Drinks,0.165378,22,19,2.36,2025-08-25 16:09:36
BEVFRU38,1,330,5940,BEVERAGES,Fruit-based Soft Drinks,0.10577,18,16,1.98,2025-08-25 16:08:36
BEVFRU39,1,1500,70500,BEVERAGES,Fruit-based Soft Drinks,0.088082,47,40,2.11,2025-08-25 16:10:36
BEVFRU40,1,1000,40000,BEVERAGES,Fruit-based Soft Drinks,0.136664,40,30,2.34,2025-08-25 16:01:36
BEVFRU41,1,1000,40000,BEVERAGES,Fruit-based Soft Drinks,0.090902,40,29,1.74,2025-08-25 16:08:36
BEVFRU42,1,330,14190,BEVERAGES,Fruit-based Soft Drinks,0.180269,43,39,2.46,2025-08-25 16:09:36
BEVFRU43,1,1500,24000,BEVERAGES,Fruit-based Soft Drinks,0.107088,16,12,1.94,2025-08-25 16:05:36
BEVFRU44,1,500,16500,BEVERAGES,Fruit-based Soft Drinks,0.102466,33,30,2.27,2025-08-25 16:07:36
BEVFRU45,1,1000,39000,BEVERAGES,Fruit-based Soft Drinks,0.198484,39,36,2.63,2025-08-25 16:09:36
BEVFRU46,1,1500,49500,BEVERAGES,Fruit-based Soft Drinks,0.096748,33,29,2.67,2025-08-25 16:05:36
BEVFRU47,1,1500,55500,BEVERAGES,Fruit-based Soft Drinks,0.164545,37,28,2.02,2025-08-25 16:08:36
BEVFRU48,1,1500,55500,BEVERAGES,Fruit-based Soft Drinks,0.131823,37,29,1.08,2025-08-25 16:02:36
BEVFRU49,1,1500,33000,BEVERAGES,Fruit-based Soft Drinks,0.113179,22,21,1.65,2025-08-25 16:07:36
BEVFRU50,1,1500,43500,BEVERAGES,Fruit-based Soft Drinks,0.078782,29,25,1.03,2025-08-25 16:02:36
BEVFRU51,1,1000,21000,BEVERAGES,Fruit-based Soft Drinks,0.094542,21,20,2.62,2025-08-25 16:01:36
BEVFRU52,1,1500,27000,BEVERAGES,Fruit-based Soft Drinks,0.173415,18,13,2.29,2025-08-25 16:10:36
BEVFRU53,1,1500,46500,BEVERAGES,Fruit-based Soft Drinks,0.152462,31,22,2.88,2025-08-25 16:02:36
BEVFRU54,1,1500,73500,BEVERAGES,Fruit-based Soft Drinks,0.129537,49,45,1.77,2025-08-25 16:06:36
BEVFRU55,1,500,12000,BEVERAGES,Fruit-based Soft Drinks,0.116939,24,18,2.68,2025-08-25 16:05:36
BEVFRU56,1,1000,16000,BEVERAGES,Fruit-based Soft Drinks,0.139182,16,11,1.68,2025-08-25 16:07:36
BEVFRU57,1,330,5940,BEVERAGES,Fruit-based Soft Drinks,0.117347,18,14,1.42,2025-08-25 16:07:36
BEVFRU58,1,1000,37000,BEVERAGES,Fruit-based Soft Drinks,0.194443,37,27,2.75,2025-08-25 16:10:36
BEVFRU59,1,1000,29000,BEVERAGES,Fruit-based Soft Drinks,0.099842,29,24,1.46,2025-08-25 16:05:36
BEVCOL1,1,1500,61500,BEVERAGES,Cola Soft Drinks,0.094902,41,30,3.08,2025-08-25 16:04:36
BEVCOL2,1,330,5610,BEVERAGES,Cola Soft Drinks,0.133129,17,15,2.39,2025-08-25 16:08:36
BEVCOL3,1,330,6930,BEVERAGES,Cola Soft Drinks,0.052656,21,17,1.76,2025-08-25 16:09:36
BEVCOL4,1,1500,64500,BEVERAGES,Cola Soft Drinks,0.091632,43,33,3.42,2025-08-25 16:02:36
BEVCOL5,1,330,9240,BEVERAGES,Cola Soft Drinks,0.113554,28,20,3.27,2025-08-25 16:09:36
BEVCOL6,1,1000,27000,BEVERAGES,Cola Soft Drinks,0.085655,27,25,1.63,2025-08-25 16:02:36
BEVCOL7,1,330,15180,BEVERAGES,Cola Soft Drinks,0.150813,46,36,2.0,2025-08-25 16:10:36
BEVCOL8,1,1500,55500,BEVERAGES,Cola Soft Drinks,0.146755,37,28,3.15,2025-08-25 16:05:36
BEVCOL9,1,1500,37500,BEVERAGES,Cola Soft Drinks,0.082322,25,17,3.24,2025-08-25 16:02:36
BEVCOL10,1,1500,43500,BEVERAGES,Cola Soft Drinks,0.083446,29,25,3.24,2025-08-25 16:03:36
BEVCOL11,1,1500,46500,BEVERAGES,Cola Soft Drinks,0.097171,31,28,1.39,2025-08-25 16:10:36
BEVCOL12,1,1500,43500,BEVERAGES,Cola Soft Drinks,0.089458,29,23,3.01,2025-08-25 16:06:36
BEVCOL13,1,1500,37500,BEVERAGES,Cola Soft Drinks,0.183378,25,21,2.59,2025-08-25 16:09:36
BEVCOL14,1,1000,41000,BEVERAGES,Cola Soft Drinks,0.164167,41,33,2.06,2025-08-25 16:01:36
BEVCOL15,1,330,14190,BEVERAGES,Cola Soft Drinks,0.112356,43,33,2.73,2025-08-25 16:01:36
BEVCOL16,1,330,8580,BEVERAGES,Cola Soft Drinks,0.123456,26,25,1.85,2025-08-25 16:09:36
BEVCOL17,1,500,14000,BEVERAGES,Cola Soft Drinks,0.154549,28,23,2.46,2025-08-25 16:10:36
BEVCOL18,1,500,14500,BEVERAGES,Cola Soft Drinks,0.13153,29,23,2.23,2025-08-25 16:01:36
BEVCOL19,1,330,15510,BEVERAGES,Cola Soft Drinks,0.125418,47,39,1.72,2025-08-25 16:04:36
BEVCOL20,1,330,5280,BEVERAGES,Cola Soft Drinks,0.104218,16,15,1.24,2025-08-25 16:07:36
BEVCOL21,1,500,8500,BEVERAGES,Cola Soft Drinks,0.071159,17,13,1.95,2025-08-25 16:04:36
BEVCOL22,1,1500,55500,BEVERAGES,Cola Soft Drinks,0.082435,37,26,2.04,2025-08-25 16:09:36
BEVCOL23,1,1500,22500,BEVERAGES,Cola Soft Drinks,0.100501,15,12,3.15,2025-08-25 16:03:36
BEVCOL24,1,330,9570,BEVERAGES,Cola Soft Drinks,0.08001,29,28,1.91,2025-08-25 16:01:36
BEVCOL25,1,1500,51000,BEVERAGES,Cola Soft Drinks,0.167465,34,25,1.42,2025-08-25 16:08:36
BEVCOL26,1,1000,18000,BEVERAGES,Cola Soft Drinks,0.132018,18,16,2.66,2025-08-25 16:03:36
BEVCOL27,1,500,19000,BEVERAGES,Cola Soft Drinks,0.117804,38,30,1.76,2025-08-25 16:04:36
BEVCOL28,1,500,12000,BEVERAGES,Cola Soft Drinks,0.119338,24,17,3.45,2025-08-25 16:07:36
BEVCOL29,1,1000,39000,BEVERAGES,Cola Soft Drinks,0.191758,39,33,3.25,2025-08-25 16:05:36
BEVCOL30,1,1000,40000,BEVERAGES,Cola Soft Drinks,0.077044,40,39,2.2,2025-08-25 16:04:36
BEVCOL31,1,330,7590,BEVERAGES,Cola Soft Drinks,0.151869,23,21,2.36,2025-08-25 16:04:36
BEVCOL32,1,1500,34500,BEVERAGES,Cola Soft Drinks,0.17914,23,19,2.74,2025-08-25 16:06:36
BEVCOL33,1,330,11220,BEVERAGES,Cola Soft Drinks,0.177288,34,25,1.65,2025-08-25 16:02:36
BEVCOL34,1,330,10890,BEVERAGES,Cola Soft Drinks,0.062696,33,24,2.35,2025-08-25 16:05:36
BEVCOL35,1,1500,27000,BEVERAGES,Cola Soft Drinks,0.101556,18,13,1.26,2025-08-25 16:10:36
BEVCOL36,1,330,9570,BEVERAGES,Cola Soft Drinks,0.171257,29,28,1.3,2025-08-25 16:04:36
BEVCOL37,1,1500,46500,BEVERAGES,Cola Soft Drinks,0.092999,31,22,3.36,2025-08-25 16:08:36
BEVICE1,1,330,14520,BEVERAGES,Iced Tea,0.147074,44,32,1.5,2025-08-25 16:09:36
BEVICE2,1,500,22000,BEVERAGES,Iced Tea,0.171653,44,39,1.67,2025-08-25 16:01:36
BEVICE3,1,330,14520,BEVERAGES,Iced Tea,0.103319,44,31,2.72,2025-08-25 16:06:36
BEVICE4,1,330,5610,BEVERAGES,Iced Tea,0.086635,17,14,1.77,2025-08-25 16:07:36
BEVICE5,1,330,13530,BEVERAGES,Iced Tea,0.120921,41,37,2.03,2025-08-25 16:05:36
BEVICE6,1,1500,33000,BEVERAGES,Iced Tea,0.171757,22,18,2.54,2025-08-25 16:07:36
BEVICE7,1,1000,25000,BEVERAGES,Iced Tea,0.06961,25,21,1.55,2025-08-25 16:05:36
BEVICE8,1,1500,55500,BEVERAGES,Iced Tea,0.069387,37,36,2.53,2025-08-25 16:02:36
BEVICE9,1,1500,37500,BEVERAGES,Iced Tea,0.155496,25,17,1.87,2025-08-25 16:07:36
BEVICE10,1,500,20500,BEVERAGES,Iced Tea,0.190663,41,36,2.0,2025-08-25 16:08:36
BEVICE11,1,1000,44000,BEVERAGES,Iced Tea,0.185534,44,35,2.52,2025-08-25 16:01:36
BEVICE12,1,1000,19000,BEVERAGES,Iced Tea,0.104334,19,17,2.03,2025-08-25 16:05:36
BEVICE13,1,1500,57000,BEVERAGES,Iced Tea,0.09605,38,37,1.38,2025-08-25 16:09:36
BEVICE14,1,1000,37000,BEVERAGES,Iced Tea,0.091108,37,32,2.78,2025-08-25 16:07:36
BEVICE15,1,500,19000,BEVERAGES,Iced Tea,0.067334,38,27,1.46,2025-08-25 16:01:36
BEVICE16,1,500,18500,BEVERAGES,Iced Tea,0.119611,37,28,2.58,2025-08-25 16:09:36
BEVICE17,1,330,7260,BEVERAGES,Iced Tea,0.157351,22,21,2.53,2025-08-25 16:05:36
BEVICE18,1,330,4950,BEVERAGES,Iced Tea,0.178466,15,10,2.26,2025-08-25 16:02:36
BEVICE19,1,1500,30000,BEVERAGES,Iced Tea,0.175398,20,18,2.0,2025-08-25 16:10:36
BEVICE20,1,500,11000,BEVERAGES,Iced Tea,0.115247,22,20,2.46,2025-08-25 16:03:36
BEVICE21,1,1000,24000,BEVERAGES,Iced Tea,0.102865,24,17,1.46,2025-08-25 16:07:36
BEVICE22,1,1500,58500,BEVERAGES,Iced Tea,0.172219,39,27,2.64,2025-08-25 16:01:36
BEVICE23,1,500,16500,BEVERAGES,Iced Tea,0.061094,33,28,1.01,2025-08-25 16:09:36
BEVICE24,1,1500,64500,BEVERAGES,Iced Tea,0.141303,43,41,2.44,2025-08-25 16:10:36
BEVICE25,1,330,7920,BEVERAGES,Iced Tea,0.172074,24,20,1.13,2025-08-25 16:06:36
BEVICE26,1,500,21000,BEVERAGES,Iced Tea,0.169271,42,37,2.43,2025-08-25 16:01:36
BEVICE27,1,1500,30000,BEVERAGES,Iced Tea,0.174959,20,17,2.6,2025-08-25 16:08:36
BEVICE28,1,1000,17000,BEVERAGES,Iced Tea,0.100506,17,12,1.68,2025-08-25 16:02:36
BEVICE29,1,500,20500,BEVERAGES,Iced Tea,0.185823,41,31,1.79,2025-08-25 16:09:36
BEVICE30,1,1000,16000,BEVERAGES,Iced Tea,0.096435,16,12,1.06,2025-08-25 16:10:36
BEVICE31,1,330,5610,BEVERAGES,Iced Tea,0.08274,17,14,1.28,2025-08-25 16:09:36
BEVENE1,1,330,3630,BEVERAGES,Energy Drinks,0.125379,11,8,2.22,2025-08-25 16:07:36
BEVENE2,1,330,4950,BEVERAGES,Energy Drinks,0.15939,15,10,3.65,2025-08-25 16:04:36
BEVENE3,1,250,5250,BEVERAGES,Energy Drinks,0.075983,21,19,1.59,2025-08-25 16:06:36
BEVENE4,1,330,6930,BEVERAGES,Energy Drinks,0.182768,21,20,2.26,2025-08-25 16:04:36
BEVENE5,1,500,8000,BEVERAGES,Energy Drinks,0.067621,16,12,1.82,2025-08-25 16:04:36
BEVENE6,1,250,5000,BEVERAGES,Energy Drinks,0.132748,20,19,3.57,2025-08-25 16:08:36
BEVENE7,1,250,6500,BEVERAGES,Energy Drinks,0.133543,26,25,2.64,2025-08-25 16:04:36
BEVENE8,1,330,7920,BEVERAGES,Energy Drinks,0.107317,24,19,1.63,2025-08-25 16:07:36
BEVENE9,1,330,8910,BEVERAGES,Energy Drinks,0.088382,27,19,2.85,2025-08-25 16:09:36
BEVENE10,1,500,6500,BEVERAGES,Energy Drinks,0.130535,13,9,1.85,2025-08-25 16:09:36
BEVENE11,1,250,6250,BEVERAGES,Energy Drinks,0.090309,25,20,3.92,2025-08-25 16:02:36
BEVENE12,1,330,3630,BEVERAGES,Energy Drinks,0.087911,11,9,2.31,2025-08-25 16:07:36
BEVENE13,1,250,5250,BEVERAGES,Energy Drinks,0.179699,21,15,2.5,2025-08-25 16:08:36
BEVENE14,1,500,14500,BEVERAGES,Energy Drinks,0.135415,29,25,2.6,2025-08-25 16:06:36
BEVENE15,1,500,9500,BEVERAGES,Energy Drinks,0.069496,19,14,2.13,2025-08-25 16:04:36
BEVENE16,1,330,9570,BEVERAGES,Energy Drinks,0.154833,29,23,3.91,2025-08-25 16:09:36
BEVENE17,1,500,14000,BEVERAGES,Energy Drinks,0.143515,28,25,2.57,2025-08-25 16:02:36
BEVENE18,1,250,5500,BEVERAGES,Energy Drinks,0.09835,22,17,1.65,2025-08-25 16:08:36
BEVENE19,1,330,8580,BEVERAGES,Energy Drinks,0.197741,26,20,1.89,2025-08-25 16:10:36
BEVENE20,1,330,5610,BEVERAGES,Energy Drinks,0.050839,17,12,2.1,2025-08-25 16:09:36
BEVENE21,1,330,5280,BEVERAGES,Energy Drinks,0.067144,16,12,3.29,2025-08-25 16:07:36
BEVENE22,1,250,5250,BEVERAGES,Energy Drinks,0.160513,21,20,2.2,2025-08-25 16:10:36
BEVENE23,1,250,2500,BEVERAGES,Energy Drinks,0.126184,10,8,3.34,2025-08-25 16:09:36
BEVENE24,1,500,12000,BEVERAGES,Energy Drinks,0.126387,24,23,2.59,2025-08-25 16:04:36
BEVENE25,1,250,5000,BEVERAGES,Energy Drinks,0.087304,20,17,2.55,2025-08-25 16:04:36
BEVENE26,1,330,8250,BEVERAGES,Energy Drinks,0.156003,25,22,2.39,2025-08-25 16:10:36
BEVENE27,1,250,5000,BEVERAGES,Energy Drinks,0.066553,20,14,1.8,2025-08-25 16:09:36
BEVENE28,1,250,6250,BEVERAGES,Energy Drinks,0.180345,25,17,1.79,2025-08-25 16:06:36
BEVENE29,1,250,7250,BEVERAGES,Energy Drinks,0.178694,29,25,1.74,2025-08-25 16:04:36
BEVENE30,1,330,7260,BEVERAGES,Energy Drinks,0.157228,22,19,3.64,2025-08-25 16:02:36
BEVENE31,1,250,3500,BEVERAGES,Energy Drinks,0.180516,14,13,2.69,2025-08-25 16:02:36
BEVENE32,1,330,7260,BEVERAGES,Energy Drinks,0.15053,22,20,3.41,2025-08-25 16:08:36
BEVENE33,1,250,4000,BEVERAGES,Energy Drinks,0.117438,16,14,2.68,2025-08-25 16:01:36
BEVENE34,1,250,2750,BEVERAGES,Energy Drinks,0.109261,11,8,2.66,2025-08-25 16:10:36
BEVENE35,1,250,4250,BEVERAGES,Energy Drinks,0.198976,17,13,2.5,2025-08-25 16:07:36
BEVENE36,1,330,4950,BEVERAGES,Energy Drinks,0.158895,15,11,3.87,2025-08-25 16:03:36
BEVENE37,1,330,4290,BEVERAGES,Energy Drinks,0.195043,13,11,2.15,2025-08-25 16:04:36
BEVENE38,1,330,5280,BEVERAGES,Energy Drinks,0.11511,16,14,3.06,2025-08-25 16:07:36
BEVENE39,1,330,5610,BEVERAGES,Energy Drinks,0.083299,17,16,2.75,2025-08-25 16:02:36
BEVENE40,1,250,7250,BEVERAGES,Energy Drinks,0.063863,29,25,3.21,2025-08-25 16:07:36
BEVENE41,1,500,7500,BEVERAGES,Energy Drinks,0.186428,15,13,3.86,2025-08-25 16:04:36
BEVENE42,1,500,11000,BEVERAGES,Energy Drinks,0.100957,22,17,3.5,2025-08-25 16:04:36
BEVFLA1,1,1000,33000,BEVERAGES,Flavored Water,0.056323,33,24,1.86,2025-08-25 16:01:36
BEVFLA2,1,500,24500,BEVERAGES,Flavored Water,0.16575,49,46,1.69,2025-08-25 16:01:36
BEVFLA3,1,1500,39000,BEVERAGES,Flavored Water,0.180609,26,23,2.23,2025-08-25 16:06:36
BEVFLA4,1,1500,30000,BEVERAGES,Flavored Water,0.089169,20,19,2.23,2025-08-25 16:03:36
BEVFLA5,1,1000,27000,BEVERAGES,Flavored Water,0.115204,27,23,1.31,2025-08-25 16:02:36
BEVFLA6,1,500,17500,BEVERAGES,Flavored Water,0.143909,35,28,1.1,2025-08-25 16:08:36
BEVFLA7,1,1500,37500,BEVERAGES,Flavored Water,0.196029,25,19,1.57,2025-08-25 16:01:36
BEVFLA8,1,500,19500,BEVERAGES,Flavored Water,0.068,39,33,1.14,2025-08-25 16:03:36
BEVFLA9,1,1500,49500,BEVERAGES,Flavored Water,0.168833,33,26,1.5,2025-08-25 16:03:36
BEVFLA10,1,1000,44000,BEVERAGES,Flavored Water,0.052225,44,42,1.48,2025-08-25 16:10:36
BEVJUI1,1,500,19000,BEVERAGES,Juices,0.062192,38,28,3.54,2025-08-25 16:04:36
BEVJUI2,1,500,8000,BEVERAGES,Juices,0.157455,16,14,3.94,2025-08-25 16:08:36
BEVJUI3,1,200,6200,BEVERAGES,Juices,0.143664,31,24,2.99,2025-08-25 16:02:36
BEVJUI4,1,500,18500,BEVERAGES,Juices,0.170469,37,36,3.59,2025-08-25 16:10:36
BEVJUI5,1,200,3200,BEVERAGES,Juices,0.123591,16,15,4.31,2025-08-25 16:07:36
BEVJUI6,1,1500,40500,BEVERAGES,Juices,0.067831,27,22,3.71,2025-08-25 16:02:36
BEVJUI7,1,200,7400,BEVERAGES,Juices,0.193813,37,36,4.4,2025-08-25 16:10:36
BEVJUI8,1,1500,54000,BEVERAGES,Juices,0.139956,36,32,2.03,2025-08-25 16:03:36
