Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,initial_stock,current_stock
DRP47,15.75,0.141398626,Hard Drinks,250.5,161,30
FDB21,7.475,0.148821808,Fruits and Vegetables,241.3,160,20
FDX19,19.1,0.096715523,Fruits and Vegetables,235.1,81,2
FDS33,6.67,0.123428594,Snack Foods,89.2,94,65
FDC08,19,0.173154079,Fruits and Vegetables,228.3,171,34
FDB53,13.35,0.139735226,Frozen Foods,147.5,131,44
FDX36,9.695,0.12848269,Baking Goods,223.9,62,50
NCK19,9.8,0.151420934,Others,194.3,73,58
FDN60,0,0.094697274,Baking Goods,158.5,63,49
FDC41,0,0.2047,Frozen Foods,76.9,119,84
FDM01,7.895,0.095102092,Breakfast,104.4,111,11
DRI37,15.85,0.107765165,Soft Drinks,59.6,169,139
FDJ56,0,0.182514881,Fruits and Vegetables,98.8,138,32
FDT22,10.395,0.112271498,Snack Foods,58.2,50,19
FDX26,0,0.153741385,Dairy,182.6,175,20
FDG45,8.1,0.127929521,Fruits and Vegetables,211.5,81,59
FDL32,15.7,0.123159656,Fruits and Vegetables,110.2,190,51
FDR43,0,0.160707489,Fruits and Vegetables,38,81,53
FDR44,6.11,0.102920886,Fruits and Vegetables,130.5,105,38
FDM40,10.195,0.159936948,Frozen Foods,143.2,140,122
FDY32,7.605,0.129503146,Fruits and Vegetables,164,53,41
FDW07,18,0.142688846,Fruits and Vegetables,88.6,72,63
FDU02,0,0.179484411,Dairy,228.9,78,25
FDQ56,6.59,0.105761491,Fruits and Vegetables,84.9,147,70
NCB55,15.7,0.160663021,Household,59.5,198,134
FDC15,18.1,0.178975721,Dairy,155.5,79,71
FDW07,18,0.142978223,Fruits and Vegetables,87.5,139,61
FDW23,0,0.143592939,Baking Goods,37.3,197,87
FDF10,15.5,0.15717236,Snack Foods,149.1,193,23
FDW27,0,0.264124669,Meat,155.7,116,39
NCJ18,12.35,0.164196823,Household,120.5,150,75
FDS09,0,0.141975462,Snack Foods,49.6,107,46
FDZ13,7.84,0.154120252,Canned,51.9,74,7
NCE43,12.5,0.103422709,Household,169.9,72,53
FDB14,20.25,0.102723919,Canned,93.2,178,8
FDK41,14.3,0.127541722,Frozen Foods,84.9,146,2
NCT54,8.695,0.119513002,Household,93.4,192,181
FDC02,21.35,0.115194717,Canned,258.3,177,20
FDT44,16.6,0.103195401,Fruits and Vegetables,117.8,130,94
FDX14,0,0.13121032,Dairy,74,53,47
FDH28,0,0.192650072,Frozen Foods,37.5,184,174
NCT41,0,0.098031771,Health and Hygiene,151.3,95,87
FDR56,11.68809968,0.100277876,Fruits and Vegetables,196.9,58,3
FDA40,16,0.099252438,Frozen Foods,87.5,82,62
FDB15,10.895,0.228993134,Dairy,263.5,133,15
FDQ37,20.75,0.149404057,Breakfast,192.8,181,106
FDR43,18.2,0.161817014,Fruits and Vegetables,37.8,114,89
FDC15,18.1,0.297883712,Dairy,156.7,155,92
NCN18,8.895,0.124967595,Household,112.8,83,4
NCE06,11.68809968,0.160178832,Household,160.3,134,78
FDC08,19,0.104035148,Fruits and Vegetables,227.8,137,69
NCM55,15.6,0.111685868,Others,184.8,104,47
FDR49,8.71,0.233039817,Canned,49.5,186,14
FDC15,18.1,0.17824575,Dairy,158.1,66,33
FDB53,13.35,0.140241213,Frozen Foods,150.2,198,59
FDR60,14.3,0.131152799,Baking Goods,78.6,190,189
FDW50,11.68809968,0.132327406,Dairy,168.4,180,1
NCQ43,11.68809968,0.110762642,Others,108.6,53,43
FDJ20,20.7,0.100330684,Fruits and Vegetables,123.4,56,15
FDL25,6.92,0.131128467,Breakfast,93.2,75,18
DRK35,11.68809968,0.125793938,Hard Drinks,36.3,73,48
FDL25,6.92,0.131665479,Breakfast,91.9,59,13
FDK44,16.6,0.122475364,Fruits and Vegetables,175.6,62,23
FDE34,9.195,0.107891398,Snack Foods,182.8,174,27
FDP10,19,0.128065918,Snack Foods,104.4,88,47
FDR36,6.715,0.121485195,Baking Goods,40.2,196,95
FDV58,20.85,0.121250374,Snack Foods,193.9,68,36
FDZ52,19.2,0.100230114,Frozen Foods,113,125,73
NCF42,17.35,0.167383061,Household,175.7,101,48
FDC11,11.68809968,0.141106202,Starchy Foods,87.9,169,108
FDC35,7.435,0.123086812,Starchy Foods,207,95,47
FDH45,15.1,0.105646853,Fruits and Vegetables,42.9,198,72
FDX33,9.195,0.118149377,Snack Foods,160.6,124,87
FDP13,8.1,0.134532392,Canned,39.4,173,99
FDB21,7.475,0.148492521,Fruits and Vegetables,240.7,97,28
DRI37,11.68809968,0.107076832,Soft Drinks,58.8,111,59
FDL20,17.1,0.128674983,Fruits and Vegetables,112.4,107,28
FDU13,8.355,0.188322664,Canned,148.5,67,57
FDZ26,11.6,0.144017405,Dairy,238.3,157,47
FDC46,0,0.115978122,Snack Foods,183.4,97,22
FDT01,13.65,0.18454121,Canned,211.6,112,26
NCR38,17.25,0.114160573,Household,253.2,61,30
DRF01,5.655,0.175352413,Soft Drinks,147.4,83,6
NCL18,18.85,0.167444431,Household,194.6,151,48
FDJ08,11.1,0.111298111,Fruits and Vegetables,191.8,136,108
NCE31,7.67,0.184689756,Household,35.4,74,67
FDL02,20,0.104245198,Canned,105.4,181,169
FDO27,6.175,0.179806961,Meat,95.3,190,186
FDR16,5.845,0.105445801,Frozen Foods,214.4,98,43
FDG20,15.5,0.210375806,Fruits and Vegetables,178.2,127,97
FDT01,13.65,0.18520944,Canned,213,185,153
FDK15,10.8,0.098566832,Meat,98.3,104,22
FDJ08,11.1,0.11084417,Fruits and Vegetables,189.3,67,7
FDX33,0,0.116915909,Snack Foods,159.5,84,52
NCZ06,0,0.164864915,Household,255.3,56,13
NCE31,7.67,0.185218446,Household,36.3,62,6
DRI39,13.8,0.162462044,Dairy,55.9,175,134
FDA14,0,0.114127418,Dairy,147.2,161,136
FDG21,17.35,0.146895866,Seafood,149.6,118,2
FDP13,0,0.133673087,Canned,41.5,149,77
FDS03,11.68809968,0.139419417,Meat,66.1,139,85
FDG08,13.15,0.165328057,Fruits and Vegetables,170.7,91,45
FDE51,5.925,0.09646733,Dairy,42.8,158,89
FDD50,18.85,0.141642219,Canned,168.1,159,155
FDC46,17.7,0.1164455,Snack Foods,182.8,75,13
FDY07,11.8,0.121848436,Fruits and Vegetables,46.8,125,8
NCO06,19.25,0.108470504,Household,33.5,81,25
FDS33,11.68809968,0.122830885,Snack Foods,87,140,129
FDS03,7.825,0.133281968,Meat,63.3,174,74
FDE02,8.71,0.121149472,Canned,93.8,175,80
FDX19,19.1,0.096733815,Fruits and Vegetables,233.2,101,33
FDG44,6.13,0.102607233,Fruits and Vegetables,54,197,146
FDY22,16.5,0.160624116,Snack Foods,143.8,152,38
FDA09,13.35,0.149669322,Snack Foods,180.3,154,12
DRD49,9.895,0.167799329,Soft Drinks,239.5,63,4
NCF42,17.35,0.167351411,Household,176.1,153,49
FDQ15,11.68809968,0.150341867,Meat,83.1,166,22
FDS44,12.65,0.156286566,Fruits and Vegetables,239,97,87
FDI41,11.68809968,0.109003832,Frozen Foods,145.2,142,111
DRJ24,11.8,0.113234914,Soft Drinks,186.4,193,110
FDA46,13.6,0.117537563,Snack Foods,195.4,159,71
FDL48,19.35,0.137697119,Baking Goods,47.1,102,25
FDL56,11.68809968,0.220225608,Fruits and Vegetables,85.6,52,14
FDT32,11.68809968,0.114916546,Fruits and Vegetables,188.4,117,56
FDX26,17.7,0.146973462,Dairy,184.1,182,0
FDU13,11.68809968,0.328390948,Canned,146,187,155
DRE27,11.85,0.13267058,Dairy,96.5,101,61
NCV30,20.2,0.110356797,Household,62.1,145,46
FDA51,8.05,0.164542555,Dairy,112.3,80,77
FDM46,7.365,0.160292264,Snack Foods,94.7,115,105
FDK02,12.5,0.112859454,Canned,118.3,140,125
NCB31,6.235,0.119345629,Household,262,118,48
FDT50,6.75,0.108148913,Dairy,95.7,136,4
FDQ56,6.59,0.105577348,Fruits and Vegetables,85.7,82,30
FDS47,16.75,0.129086113,Breads,89.5,117,36
DRM48,15.2,0.113125627,Soft Drinks,38.7,137,78
FDW27,5.86,0.151467821,Meat,154.1,144,142
FDD51,11.15,0.120139206,Dairy,45.1,157,51
NCN06,8.39,0.120497266,Household,162.3,102,68
FDL32,15.7,0.122657336,Fruits and Vegetables,110.2,123,91
FDR19,13.5,0.159587755,Fruits and Vegetables,145.3,98,96
FDB15,10.895,0.136810742,Dairy,263.1,162,138
FDA52,16.2,0.128682722,Frozen Foods,178.4,163,42
FDZ08,11.68809968,0.109459733,Fruits and Vegetables,84.2,144,39
FDR27,15.1,0.096644015,Meat,132,74,62
NCE31,7.67,0.184843579,Household,33.1,181,129
FDM56,0,0.122896411,Fruits and Vegetables,111.2,188,86
DRM37,15.35,0.161350176,Soft Drinks,196.7,194,72
FDN56,5.46,0.106968096,Fruits and Vegetables,142.7,157,103
DRE60,9.395,0.159582185,Soft Drinks,224.8,118,29
FDW49,0,0.14453827,Canned,180.6,133,15
FDK15,0,0.172309903,Meat,98.2,134,58
FDP19,11.5,0.173516063,Fruits and Vegetables,128.2,168,46
FDQ24,0,0.12898088,Baking Goods,250.5,121,115
FDN52,0,0.13093275,Frozen Foods,86.9,69,29
FDF21,10.3,0.098464979,Fruits and Vegetables,188.7,76,8
NCN14,0,0.160936178,Others,184.3,57,0
FDS35,0,0.110681931,Breads,63.3,134,58
FDZ23,17.75,0.112985849,Baking Goods,185.4,110,101
FDX27,20.7,0.11411709,Dairy,92.7,52,7
FDR14,11.65,0.175033524,Dairy,55.5,56,51
FDA45,0,0.154627247,Snack Foods,177.6,53,17
DRF23,4.61,0.205294827,Hard Drinks,172.8,182,90
FDT49,7,0.152261999,Canned,105.7,188,95
FDH22,6.405,0.136275173,Snack Foods,128.2,174,57
FDT34,9.3,0.174621343,Snack Foods,104.3,64,48
FDU22,0,0.163350221,Snack Foods,120.2,62,31
FDP01,20.75,0.105994654,Breakfast,150.6,167,47
FDZ33,10.195,0.107376743,Snack Foods,147.6,56,44
FDW56,7.68,0.118672537,Fruits and Vegetables,192.2,153,99
FDC26,10.195,0.126897925,Canned,110.7,55,35
NCJ31,19.2,0.182501773,Others,239.2,113,84
FDO57,20.75,0.108710162,Snack Foods,161.8,79,45
FDS44,11.68809968,0.15528831,Fruits and Vegetables,241.8,71,30
NCO06,19.25,0.108010006,Household,33.4,167,164
FDU37,9.5,0.104421237,Canned,80.2,133,125
FDC26,10.195,0.126359196,Canned,109.3,182,45
FDR43,18.2,0.161355122,Fruits and Vegetables,38.3,192,120
NCB31,6.235,0.118651919,Household,264,139,87
NCP29,8.42,0.112728355,Health and Hygiene,65.8,170,60
NCX29,11.68809968,0.156094569,Health and Hygiene,144.3,155,45
FDU37,9.5,0.104933928,Canned,78.8,118,50
FDM02,12.5,0.12341737,Canned,86,144,80
FDR46,16.85,0.139417654,Snack Foods,147.5,126,109
DRF23,11.68809968,0.122058364,Hard Drinks,172.8,50,41
FDO09,13.5,0.125528734,Snack Foods,262.2,199,44
DRN11,7.85,0.162980276,Hard Drinks,145.2,111,67
FDW08,11.68809968,0.147663025,Fruits and Vegetables,106,67,46
FDZ33,10.195,0.107834541,Snack Foods,146.5,97,78
FDO23,17.85,0.146399663,Breads,93.8,186,157
FDH33,12.85,0.122221269,Snack Foods,45.9,50,23
DRH23,14.65,0.171281641,Hard Drinks,54.1,186,170
NCY41,16.75,0.126765903,Health and Hygiene,35.8,200,161
FDY12,9.8,0.14061104,Baking Goods,49.8,156,22
FDC35,11.68809968,0.122242847,Starchy Foods,207.6,179,60
DRE27,11.85,0.132560174,Dairy,97.3,191,164
NCZ18,7.825,0.186445212,Household,255.6,87,12
FDL13,11.68809968,0.098606543,Breakfast,232.7,89,70
NCN18,8.895,0.125222705,Household,113.4,131,6
NCB43,11.68809968,0.099428487,Household,187.9,65,41
FDQ46,7.51,0.103793399,Snack Foods,110.2,176,165
FDB22,8.02,0.111419588,Snack Foods,154.4,166,140
FDV23,11,0.106051405,Breads,124.4,142,27
FDL33,7.235,0.099962524,Snack Foods,193.8,183,95
NCI17,8.645,0.143713508,Health and Hygiene,96.6,52,42
FDI44,11.68809968,0.099747488,Fruits and Vegetables,75.2,63,17
NCF18,18.35,0.148938624,Household,192,115,97
FDA49,11.68809968,0.113669629,Canned,89,144,111
FDL02,0,0.182236555,Canned,107.2,135,0
FDO24,11.1,0.176069023,Baking Goods,156.8,163,42
FDW40,14,0.105573769,Frozen Foods,144,178,41
FDY08,9.395,0.172042892,Fruits and Vegetables,140,64,49
FDW13,8.5,0.097866209,Canned,51.1,86,59
FDX15,17.2,0.156269303,Meat,159.7,76,0
FDD46,0,0.247321039,Snack Foods,152.4,61,50
FDT22,10.395,0.11207602,Snack Foods,58,116,15
FDT19,7.59,0.145631695,Fruits and Vegetables,172.8,79,38
DRH01,0,0.171417316,Soft Drinks,173.1,145,14
FDY15,18.25,0.170795745,Dairy,154.5,184,124
FDR43,18.2,0.161489509,Fruits and Vegetables,37.6,83,32
FDV04,7.825,0.150319469,Frozen Foods,156.9,81,52
FDB22,8.02,0.111613921,Snack Foods,152.7,166,144
FDG33,5.365,0.140524691,Seafood,172.8,88,88
NCR38,17.25,0.113694957,Household,253.5,145,105
DRI39,13.8,0.097043739,Dairy,57.5,180,5
FDB14,20.25,0.102704495,Canned,94.3,92,30
NCJ18,12.35,0.163910938,Household,119.2,130,39
FDK08,11.68809968,0.214139786,Fruits and Vegetables,102.4,52,29
DRY23,9.395,0.109075742,Soft Drinks,42.9,123,68
NCG19,20.25,0.14781046,Household,234.9,166,134
FDQ01,19.7,0.16102755,Canned,254.1,112,108
FDT34,9.3,0.174317307,Snack Foods,106.8,160,12
DRM23,16.6,0.135707553,Hard Drinks,170.6,89,3
FDA51,11.68809968,0.163882129,Dairy,113.3,67,49
FDC32,18.35,0.099309997,Fruits and Vegetables,91.4,116,105
DRE37,11.68809968,0.164966345,Soft Drinks,189.5,152,2
FDU60,20,0.100262068,Baking Goods,169.6,187,139
FDZ33,11.68809968,0.188038372,Snack Foods,146.4,95,64
FDY43,14.85,0.098803088,Fruits and Vegetables,169.7,104,26
DRM23,16.6,0.227189581,Hard Drinks,173.9,124,106
FDI04,11.68809968,0.127660257,Frozen Foods,198.5,146,49
FDY24,4.88,0.223440258,Baking Goods,52.2,75,16
FDT04,17.25,0.10764721,Frozen Foods,39.4,71,71
FDR60,14.3,0.130415118,Baking Goods,75.9,75,31
FDE29,8.905,0.143129124,Frozen Foods,58.9,122,83
FDN46,7.21,0.144856342,Snack Foods,100.5,164,16
FDV28,16.1,0.267352587,Frozen Foods,35,100,33
FDR48,11.68809968,0.130867413,Baking Goods,150.8,162,34
FDW37,11.68809968,0.123449671,Canned,89.7,195,151
FDX45,16.75,0.105018817,Snack Foods,155.3,61,53
FDT58,9,0.143870574,Snack Foods,169.5,52,17
NCL31,7.39,0.120280989,Others,142.7,169,49
NCJ31,19.2,0.182653772,Others,243,184,173
FDO23,11.68809968,0.25637539,Breads,94.8,183,175
FDN56,5.46,0.107036943,Fruits and Vegetables,144.3,131,102
FDJ44,12.3,0.106238768,Fruits and Vegetables,176.1,94,32
NCZ06,19.6,0.094694278,Household,255,176,88
FDJ20,20.7,0.100583009,Fruits and Vegetables,123.5,135,128
NCI31,20,0.136124989,Others,38.3,164,84
DRK13,11.8,0.115167579,Soft Drinks,199.8,58,58
DRJ24,11.8,0.113559058,Soft Drinks,184.3,200,9
FDF10,15.5,0.157246634,Snack Foods,145.6,61,30
FDD50,18.85,0.141524348,Canned,168.4,165,152
DRK13,11.8,0.115819014,Soft Drinks,198.3,137,56
FDX36,9.695,0.129008866,Baking Goods,226.9,111,65
FDY22,16.5,0.160371305,Snack Foods,143.9,153,118
FDA46,13.6,0.117874024,Snack Foods,193.6,122,111
FDD52,18.25,0.184041545,Dairy,110.2,126,14
FDR55,12.15,0.13283066,Fruits and Vegetables,190.7,89,27
NCF42,17.35,0.167243769,Household,176.3,184,12
FDQ56,11.68809968,0.105085956,Fruits and Vegetables,82.4,66,13
DRM37,0,0.095931002,Soft Drinks,198.6,168,113
FDI16,14,0.135775701,Frozen Foods,54.6,175,33
FDX36,9.695,0.128543405,Baking Goods,226.5,73,24
DRF23,4.61,0.123346085,Hard Drinks,172.5,51,47
FDM46,7.365,0.159937597,Snack Foods,93.9,141,53
FDR51,0,0.172629683,Meat,148.5,198,11
FDC56,7.72,0.12152072,Fruits and Vegetables,118.2,166,125
FDQ03,0,0.136592891,Meat,238,102,8
FDR46,0,0.244102315,Snack Foods,148.1,95,30
FDA10,20.35,0.141789197,Snack Foods,121.9,94,77
FDX33,9.195,0.117462619,Snack Foods,159,58,28
NCL29,9.695,0.11411658,Health and Hygiene,158.9,55,52
NCW42,18.2,0.097865088,Household,221.8,100,42
FDX10,6.385,0.123961415,Snack Foods,33.3,168,165
FDY33,0,0.096730427,Snack Foods,159,84,41
DRH51,17.6,0.097198194,Dairy,89.9,131,123
NCX05,0,0.169943195,Health and Hygiene,116.2,196,175
FDH50,15,0.161301097,Canned,185.1,74,66
FDK02,12.5,0.187841082,Canned,119.2,188,65
FDO57,20.75,0.109153001,Snack Foods,161.4,66,15
FDC05,13.1,0.098938169,Frozen Foods,195.8,85,82
FDK15,11.68809968,0.097937252,Meat,98.9,145,93
FDQ46,7.51,0.103813029,Snack Foods,113.8,70,15
FDN13,18.6,0.152058281,Breakfast,99.9,67,30
FDZ49,11,0.13312044,Canned,221.6,195,117
NCJ17,7.68,0.255348289,Health and Hygiene,84.4,50,27
FDI53,8.895,0.137858955,Frozen Foods,162.1,191,3
FDL20,11.68809968,0.224837308,Fruits and Vegetables,112.8,185,137
NCB31,11.68809968,0.118099673,Household,262.9,100,50
FDB15,10.895,0.137023446,Dairy,263.8,128,17
FDF56,16.7,0.119362812,Fruits and Vegetables,180.4,85,46
FDV52,20.7,0.122208091,Frozen Foods,119.7,111,31
FDR46,11.68809968,0.138742518,Snack Foods,147.5,178,157
FDQ56,6.59,0.105597316,Fruits and Vegetables,83.5,134,8
FDD47,7.6,0.142410775,Starchy Foods,171.9,91,35
FDZ33,10.195,0.108004532,Snack Foods,148.7,50,28
FDK52,18.25,0.132596101,Frozen Foods,226.2,103,15
FDJ36,14.5,0.128459481,Baking Goods,102,149,91
NCB55,15.7,0.161317495,Household,57.6,88,20
FDX27,20.7,0.114294512,Dairy,94.9,56,46
NCB43,20.2,0.100114941,Household,188.4,199,193
FDL09,11.68809968,0.22417463,Snack Foods,168.9,170,123
FDE34,9.195,0.108059141,Snack Foods,181.8,94,58
FDT22,11.68809968,0.111554381,Snack Foods,59.8,123,109
FDG33,11.68809968,0.245542627,Seafood,172.3,169,117
FDD52,11.68809968,0.182407266,Dairy,109.2,121,27
FDI16,14,0.136328794,Frozen Foods,54.9,187,182
FDP11,15.85,0.11566015,Breads,218.3,191,99
NCL18,18.85,0.167844438,Household,193.9,95,30
FDD50,11.68809968,0.14095631,Canned,167.7,172,160
FDO09,13.5,0.125469442,Snack Foods,264.5,167,80
FDP26,7.785,0.139436695,Dairy,103,124,45
NCG43,20.2,0.124261614,Household,93.6,55,48
FDO32,6.36,0.120520818,Fruits and Vegetables,45.9,70,64
FDU59,5.78,0.096386227,Breads,163.6,196,41
FDR43,18.2,0.162147349,Fruits and Vegetables,37.7,152,150
DRH15,8.775,0.109911272,Dairy,41.9,137,111
FDS44,12.65,0.156926608,Fruits and Vegetables,238.4,148,26
DRH23,14.65,0.170176516,Hard Drinks,55.3,111,88
FDE56,17.25,0.160095901,Fruits and Vegetables,61.5,156,87
FDA40,16,0.099832728,Frozen Foods,87.5,132,120
FDD46,6.035,0.236433601,Snack Foods,155.6,105,2
FDD52,18.25,0.18329488,Dairy,111.7,71,59
NCU54,8.88,0.098775709,Household,208.9,117,75
FDR43,18.2,0.270300331,Fruits and Vegetables,38.3,59,34
FDD51,11.15,0.119852889,Dairy,45,115,78
FDB12,11.15,0.105220024,Baking Goods,102.8,57,16
FDT40,5.985,0.095715608,Frozen Foods,125.9,172,31
FDQ56,6.59,0.106027474,Fruits and Vegetables,84,87,6
FDG16,11.68809968,0.157257637,Frozen Foods,215,172,70
FDZ08,12.5,0.109971578,Fruits and Vegetables,82.8,111,68
FDZ49,11,0.133145617,Canned,218.5,187,57
FDB15,10.895,0.136696892,Dairy,264.6,94,39
FDL12,11.68809968,0.121043709,Baking Goods,59.4,114,84
FDX45,16.75,0.104768536,Snack Foods,155.2,116,111
FDK03,12.6,0.123727659,Dairy,253,186,47
NCJ18,12.35,0.163805509,Household,117.6,182,178
FDZ59,11.68809968,0.182128363,Baking Goods,165.7,155,110
DRP35,11.68809968,0.159096908,Hard Drinks,129.3,187,70
FDZ59,6.63,0.103935018,Baking Goods,166.9,189,164
FDL09,19.6,0.128011859,Snack Foods,166.9,131,74
FDY38,13.6,0.119850541,Dairy,234.5,107,73
FDO57,20.75,0.181958524,Snack Foods,161.1,198,120
FDF16,7.3,0.144167934,Frozen Foods,146.3,198,54
FDR46,16.85,0.139985583,Snack Foods,145.3,180,40
FDP22,14.65,0.099286298,Snack Foods,49.9,118,96
NCF42,17.35,0.168064909,Household,176.3,138,32
FDC45,17,0.136286138,Fruits and Vegetables,170.9,113,39
FDI40,11.5,0.125857678,Frozen Foods,100.5,121,98
DRM48,15.2,0.112896669,Soft Drinks,36.1,66,33
FDS12,9.1,0.173973652,Baking Goods,126.5,122,61
FDQ52,17,0.119285634,Frozen Foods,247.4,119,99
FDY28,7.47,0.153011599,Frozen Foods,215.2,162,18
FDJ58,15.6,0.105276162,Snack Foods,173.3,70,42
FDJ27,17.7,0.122123201,Meat,100.8,184,9
FDO27,6.175,0.179077475,Meat,94.4,56,55
FDO09,13.5,0.125170423,Snack Foods,261.5,160,122
FDF41,12.15,0.131445848,Frozen Foods,246.8,76,12
FDT24,12.35,0.18614827,Baking Goods,78.2,57,28
FDK08,9.195,0.204713036,Fruits and Vegetables,101,77,4
FDW57,8.31,0.116148596,Snack Foods,176,96,57
NCW54,7.5,0.096806008,Household,56.3,135,58
FDJ58,15.6,0.105725004,Snack Foods,170,59,11
FDX21,11.68809968,0.148764535,Snack Foods,111.2,163,127
FDF47,20.85,0.098170402,Starchy Foods,224.1,82,58
FDF56,16.7,0.119439636,Fruits and Vegetables,182.2,184,85
FDT19,7.59,0.14492016,Fruits and Vegetables,174.7,180,103
FDZ33,11.68809968,0.106876976,Snack Foods,146.7,63,14
FDJ56,11.68809968,0.32111501,Fruits and Vegetables,100.8,95,76
FDC10,11.68809968,0.127599399,Snack Foods,118.9,110,0
DRI37,15.85,0.108206497,Soft Drinks,58.4,62,53
FDW36,11.68809968,0.099681705,Baking Goods,107.5,65,37
FDY28,7.47,0.152024355,Frozen Foods,211.8,182,106
NCF42,17.35,0.168329848,Household,176.8,87,52
FDZ45,14.1,0.111936685,Snack Foods,198.8,87,51
FDC41,15.6,0.117095014,Frozen Foods,78.1,152,0
FDA10,11.68809968,0.248301532,Snack Foods,124.1,105,10
FDX32,15.1,0.099839365,Fruits and Vegetables,143.4,112,57
