shelf_id,x,y,w,h,label,zone,aisle
FVB65,0.0,18.7,1.0,0.7,FVB65 (Fruits and Vegetables),🥬 Produce,1
FVB73,0.0,19.55,1.0,0.7,FVB73 (Fruits and Vegetables),🥬 Produce,1
FVB84,0.0,20.4,1.0,0.7,FVB84 (Fruits and Vegetables),🥬 Produce,1
FVC03,0.0,21.25,1.0,0.7,FVC03 (Fruits and Vegetables),🥬 Produce,1
FVC32,0.0,22.1,1.0,0.7,FVC32 (Fruits and Vegetables),🥬 Produce,1
FVC56,0.0,22.95,1.0,0.7,FVC56 (Fruits and Vegetables),🥬 Produce,1
FVC65,0.0,23.8,1.0,0.7,FVC65 (Fruits and Vegetables),🥬 Produce,1
FVC66,0.0,24.65,1.0,0.7,FVC66 (Fruits and Vegetables),🥬 Produce,1
FVC69,1.8,0.0,1.0,0.7,FVC69 (Fruits and Vegetables),🥬 Produce,2
FVC71,1.8,0.85,1.0,0.7,FVC71 (Fruits and Vegetables),🥬 Produce,2
FVC73,1.8,1.7,1.0,0.7,FVC73 (Fruits and Vegetables),🥬 Produce,2
FVC84,1.8,2.55,1.0,0.7,FVC84 (Fruits and Vegetables),🥬 Produce,2
FVC86,1.8,3.4,1.0,0.7,FVC86 (Fruits and Vegetables),🥬 Produce,2
FVC91,1.8,4.25,1.0,0.7,FVC91 (Fruits and Vegetables),🥬 Produce,2
FVD04,1.8,5.1,1.0,0.7,FVD04 (Fruits and Vegetables),🥬 Produce,2
FVD08,1.8,5.95,1.0,0.7,FVD08 (Fruits and Vegetables),🥬 Produce,2
FVD10,1.8,6.8,1.0,0.7,FVD10 (Fruits and Vegetables),🥬 Produce,2
FVD19,1.8,7.65,1.0,0.7,FVD19 (Fruits and Vegetables),🥬 Produce,2
FVD23,1.8,8.5,1.0,0.7,FVD23 (Fruits and Vegetables),🥬 Produce,2
FVD28,1.8,9.35,1.0,0.7,FVD28 (Fruits and Vegetables),🥬 Produce,2
FVD29,1.8,10.2,1.0,0.7,FVD29 (Fruits and Vegetables),🥬 Produce,2
FVD51,1.8,11.05,1.0,0.7,FVD51 (Fruits and Vegetables),🥬 Produce,2
FVD58,1.8,11.9,1.0,0.7,FVD58 (Fruits and Vegetables),🥬 Produce,2
FVD66,1.8,12.75,1.0,0.7,FVD66 (Fruits and Vegetables),🥬 Produce,2
FVD77,1.8,13.6,1.0,0.7,FVD77 (Fruits and Vegetables),🥬 Produce,2
FVD90,1.8,14.45,1.0,0.7,FVD90 (Fruits and Vegetables),🥬 Produce,2
FVD94,1.8,15.3,1.0,0.7,FVD94 (Fruits and Vegetables),🥬 Produce,2
FVE04,1.8,16.15,1.0,0.7,FVE04 (Fruits and Vegetables),🥬 Produce,2
FVE10,1.8,17.0,1.0,0.7,FVE10 (Fruits and Vegetables),🥬 Produce,2
FVE12,1.8,17.85,1.0,0.7,FVE12 (Fruits and Vegetables),🥬 Produce,2
FVE26,1.8,18.7,1.0,0.7,FVE26 (Fruits and Vegetables),🥬 Produce,2
FVE33,1.8,19.55,1.0,0.7,FVE33 (Fruits and Vegetables),🥬 Produce,2
FVE35,1.8,20.4,1.0,0.7,FVE35 (Fruits and Vegetables),🥬 Produce,2
FVE36,1.8,21.25,1.0,0.7,FVE36 (Fruits and Vegetables),🥬 Produce,2
FVE40,1.8,22.1,1.0,0.7,FVE40 (Fruits and Vegetables),🥬 Produce,2
FVE47,1.8,22.95,1.0,0.7,FVE47 (Fruits and Vegetables),🥬 Produce,2
FVE59,1.8,23.8,1.0,0.7,FVE59 (Fruits and Vegetables),🥬 Produce,2
FVE60,1.8,24.65,1.0,0.7,FVE60 (Fruits and Vegetables),🥬 Produce,2
FVE74,3.6,0.0,1.0,0.7,FVE74 (Fruits and Vegetables),🥬 Produce,3
FVE92,3.6,0.85,1.0,0.7,FVE92 (Fruits and Vegetables),🥬 Produce,3
FVE98,3.6,1.7,1.0,0.7,FVE98 (Fruits and Vegetables),🥬 Produce,3
FVE99,3.6,2.55,1.0,0.7,FVE99 (Fruits and Vegetables),🥬 Produce,3
FVF06,3.6,3.4,1.0,0.7,FVF06 (Fruits and Vegetables),🥬 Produce,3
FVF13,3.6,4.25,1.0,0.7,FVF13 (Fruits and Vegetables),🥬 Produce,3
FVF17,3.6,5.1,1.0,0.7,FVF17 (Fruits and Vegetables),🥬 Produce,3
FVF32,3.6,5.95,1.0,0.7,FVF32 (Fruits and Vegetables),🥬 Produce,3
FVF43,3.6,6.8,1.0,0.7,FVF43 (Fruits and Vegetables),🥬 Produce,3
FVF44,3.6,7.65,1.0,0.7,FVF44 (Fruits and Vegetables),🥬 Produce,3
FVF46,3.6,8.5,1.0,0.7,FVF46 (Fruits and Vegetables),🥬 Produce,3
FVF50,3.6,9.35,1.0,0.7,FVF50 (Fruits and Vegetables),🥬 Produce,3
FVF71,3.6,10.2,1.0,0.7,FVF71 (Fruits and Vegetables),🥬 Produce,3
FVF82,3.6,11.05,1.0,0.7,FVF82 (Fruits and Vegetables),🥬 Produce,3
FVF84,3.6,11.9,1.0,0.7,FVF84 (Fruits and Vegetables),🥬 Produce,3
FVF90,3.6,12.75,1.0,0.7,FVF90 (Fruits and Vegetables),🥬 Produce,3
FVF98,3.6,13.6,1.0,0.7,FVF98 (Fruits and Vegetables),🥬 Produce,3
FVG25,3.6,14.45,1.0,0.7,FVG25 (Fruits and Vegetables),🥬 Produce,3
FVG29,3.6,15.3,1.0,0.7,FVG29 (Fruits and Vegetables),🥬 Produce,3
FVG34,3.6,16.15,1.0,0.7,FVG34 (Fruits and Vegetables),🥬 Produce,3
FVG39,3.6,17.0,1.0,0.7,FVG39 (Fruits and Vegetables),🥬 Produce,3
FVG44,3.6,17.85,1.0,0.7,FVG44 (Fruits and Vegetables),🥬 Produce,3
FVG48,3.6,18.7,1.0,0.7,FVG48 (Fruits and Vegetables),🥬 Produce,3
FVG66,3.6,19.55,1.0,0.7,FVG66 (Fruits and Vegetables),🥬 Produce,3
FVG78,3.6,20.4,1.0,0.7,FVG78 (Fruits and Vegetables),🥬 Produce,3
FVG99,3.6,21.25,1.0,0.7,FVG99 (Fruits and Vegetables),🥬 Produce,3
FVH02,3.6,22.1,1.0,0.7,FVH02 (Fruits and Vegetables),🥬 Produce,3
FVH13,3.6,22.95,1.0,0.7,FVH13 (Fruits and Vegetables),🥬 Produce,3
FVH14,3.6,23.8,1.0,0.7,FVH14 (Fruits and Vegetables),🥬 Produce,3
FVH22,3.6,24.65,1.0,0.7,FVH22 (Fruits and Vegetables),🥬 Produce,3
FVH23,5.4,0.0,1.0,0.7,FVH23 (Fruits and Vegetables),🥬 Produce,4
FVH29,5.4,0.85,1.0,0.7,FVH29 (Fruits and Vegetables),🥬 Produce,4
FVH32,5.4,1.7,1.0,0.7,FVH32 (Fruits and Vegetables),🥬 Produce,4
FVH46,5.4,2.55,1.0,0.7,FVH46 (Fruits and Vegetables),🥬 Produce,4
FVH49,5.4,3.4,1.0,0.7,FVH49 (Fruits and Vegetables),🥬 Produce,4
FVH57,5.4,4.25,1.0,0.7,FVH57 (Fruits and Vegetables),🥬 Produce,4
FVH76,5.4,5.1,1.0,0.7,FVH76 (Fruits and Vegetables),🥬 Produce,4
FVH84,5.4,5.95,1.0,0.7,FVH84 (Fruits and Vegetables),🥬 Produce,4
FVH85,5.4,6.8,1.0,0.7,FVH85 (Fruits and Vegetables),🥬 Produce,4
FVH89,5.4,7.65,1.0,0.7,FVH89 (Fruits and Vegetables),🥬 Produce,4
FVI08,5.4,8.5,1.0,0.7,FVI08 (Fruits and Vegetables),🥬 Produce,4
FVI18,5.4,9.35,1.0,0.7,FVI18 (Fruits and Vegetables),🥬 Produce,4
FVI38,5.4,10.2,1.0,0.7,FVI38 (Fruits and Vegetables),🥬 Produce,4
FVI43,5.4,11.05,1.0,0.7,FVI43 (Fruits and Vegetables),🥬 Produce,4
FVI48,5.4,11.9,1.0,0.7,FVI48 (Fruits and Vegetables),🥬 Produce,4
FVI58,5.4,12.75,1.0,0.7,FVI58 (Fruits and Vegetables),🥬 Produce,4
FVI68,5.4,13.6,1.0,0.7,FVI68 (Fruits and Vegetables),🥬 Produce,4
FVI75,5.4,14.45,1.0,0.7,FVI75 (Fruits and Vegetables),🥬 Produce,4
FVI79,5.4,15.3,1.0,0.7,FVI79 (Fruits and Vegetables),🥬 Produce,4
FVI83,5.4,16.15,1.0,0.7,FVI83 (Fruits and Vegetables),🥬 Produce,4
FVI84,5.4,17.0,1.0,0.7,FVI84 (Fruits and Vegetables),🥬 Produce,4
FVI93,5.4,17.85,1.0,0.7,FVI93 (Fruits and Vegetables),🥬 Produce,4
FVJ01,5.4,18.7,1.0,0.7,FVJ01 (Fruits and Vegetables),🥬 Produce,4
FVJ15,5.4,19.55,1.0,0.7,FVJ15 (Fruits and Vegetables),🥬 Produce,4
FVJ16,5.4,20.4,1.0,0.7,FVJ16 (Fruits and Vegetables),🥬 Produce,4
FVJ19,5.4,21.25,1.0,0.7,FVJ19 (Fruits and Vegetables),🥬 Produce,4
FVJ21,5.4,22.1,1.0,0.7,FVJ21 (Fruits and Vegetables),🥬 Produce,4
FVJ22,5.4,22.95,1.0,0.7,FVJ22 (Fruits and Vegetables),🥬 Produce,4
FVJ38,5.4,23.8,1.0,0.7,FVJ38 (Fruits and Vegetables),🥬 Produce,4
FVJ43,5.4,24.65,1.0,0.7,FVJ43 (Fruits and Vegetables),🥬 Produce,4
FVJ46,7.2,0.0,1.0,0.7,FVJ46 (Fruits and Vegetables),🥬 Produce,5
FVJ51,7.2,0.85,1.0,0.7,FVJ51 (Fruits and Vegetables),🥬 Produce,5
FVJ58,7.2,1.7,1.0,0.7,FVJ58 (Fruits and Vegetables),🥬 Produce,5
FVJ64,7.2,2.55,1.0,0.7,FVJ64 (Fruits and Vegetables),🥬 Produce,5
FVJ73,7.2,3.4,1.0,0.7,FVJ73 (Fruits and Vegetables),🥬 Produce,5
FVJ75,7.2,4.25,1.0,0.7,FVJ75 (Fruits and Vegetables),🥬 Produce,5
FVJ78,7.2,5.1,1.0,0.7,FVJ78 (Fruits and Vegetables),🥬 Produce,5
FVJ81,7.2,5.95,1.0,0.7,FVJ81 (Fruits and Vegetables),🥬 Produce,5
FVJ92,7.2,6.8,1.0,0.7,FVJ92 (Fruits and Vegetables),🥬 Produce,5
FVJ97,7.2,7.65,1.0,0.7,FVJ97 (Fruits and Vegetables),🥬 Produce,5
FVJ99,7.2,8.5,1.0,0.7,FVJ99 (Fruits and Vegetables),🥬 Produce,5
FVK01,7.2,9.35,1.0,0.7,FVK01 (Fruits and Vegetables),🥬 Produce,5
FVK25,7.2,10.2,1.0,0.7,FVK25 (Fruits and Vegetables),🥬 Produce,5
FVK35,7.2,11.05,1.0,0.7,FVK35 (Fruits and Vegetables),🥬 Produce,5
FVK38,7.2,11.9,1.0,0.7,FVK38 (Fruits and Vegetables),🥬 Produce,5
FVK41,7.2,12.75,1.0,0.7,FVK41 (Fruits and Vegetables),🥬 Produce,5
FVK55,7.2,13.6,1.0,0.7,FVK55 (Fruits and Vegetables),🥬 Produce,5
FVK56,7.2,14.45,1.0,0.7,FVK56 (Fruits and Vegetables),🥬 Produce,5
FVK58,7.2,15.3,1.0,0.7,FVK58 (Fruits and Vegetables),🥬 Produce,5
FVK60,7.2,16.15,1.0,0.7,FVK60 (Fruits and Vegetables),🥬 Produce,5
FVK73,7.2,17.0,1.0,0.7,FVK73 (Fruits and Vegetables),🥬 Produce,5
FVK77,7.2,17.85,1.0,0.7,FVK77 (Fruits and Vegetables),🥬 Produce,5
FVK79,7.2,18.7,1.0,0.7,FVK79 (Fruits and Vegetables),🥬 Produce,5
FVK82,7.2,19.55,1.0,0.7,FVK82 (Fruits and Vegetables),🥬 Produce,5
FVK85,7.2,20.4,1.0,0.7,FVK85 (Fruits and Vegetables),🥬 Produce,5
FVK87,7.2,21.25,1.0,0.7,FVK87 (Fruits and Vegetables),🥬 Produce,5
FVK93,7.2,22.1,1.0,0.7,FVK93 (Fruits and Vegetables),🥬 Produce,5
FVK96,7.2,22.95,1.0,0.7,FVK96 (Fruits and Vegetables),🥬 Produce,5
FVL01,7.2,23.8,1.0,0.7,FVL01 (Fruits and Vegetables),🥬 Produce,5
FVL07,7.2,24.65,1.0,0.7,FVL07 (Fruits and Vegetables),🥬 Produce,5
FVL08,9.0,0.0,1.0,0.7,FVL08 (Fruits and Vegetables),🥬 Produce,6
FVL10,9.0,0.85,1.0,0.7,FVL10 (Fruits and Vegetables),🥬 Produce,6
FVL29,9.0,1.7,1.0,0.7,FVL29 (Fruits and Vegetables),🥬 Produce,6
FVL31,9.0,2.55,1.0,0.7,FVL31 (Fruits and Vegetables),🥬 Produce,6
FVL34,9.0,3.4,1.0,0.7,FVL34 (Fruits and Vegetables),🥬 Produce,6
FVL49,9.0,4.25,1.0,0.7,FVL49 (Fruits and Vegetables),🥬 Produce,6
FVL61,9.0,5.1,1.0,0.7,FVL61 (Fruits and Vegetables),🥬 Produce,6
FVL65,9.0,5.95,1.0,0.7,FVL65 (Fruits and Vegetables),🥬 Produce,6
FVL71,9.0,6.8,1.0,0.7,FVL71 (Fruits and Vegetables),🥬 Produce,6
FVL74,9.0,7.65,1.0,0.7,FVL74 (Fruits and Vegetables),🥬 Produce,6
FVL76,9.0,8.5,1.0,0.7,FVL76 (Fruits and Vegetables),🥬 Produce,6
FVL79,9.0,9.35,1.0,0.7,FVL79 (Fruits and Vegetables),🥬 Produce,6
FVL94,9.0,10.2,1.0,0.7,FVL94 (Fruits and Vegetables),🥬 Produce,6
FVM09,9.0,11.05,1.0,0.7,FVM09 (Fruits and Vegetables),🥬 Produce,6
FVM11,9.0,11.9,1.0,0.7,FVM11 (Fruits and Vegetables),🥬 Produce,6
FVM14,9.0,12.75,1.0,0.7,FVM14 (Fruits and Vegetables),🥬 Produce,6
FVM18,9.0,13.6,1.0,0.7,FVM18 (Fruits and Vegetables),🥬 Produce,6
FVM42,9.0,14.45,1.0,0.7,FVM42 (Fruits and Vegetables),🥬 Produce,6
FVM53,9.0,15.3,1.0,0.7,FVM53 (Fruits and Vegetables),🥬 Produce,6
FVM66,9.0,16.15,1.0,0.7,FVM66 (Fruits and Vegetables),🥬 Produce,6
FVM74,9.0,17.0,1.0,0.7,FVM74 (Fruits and Vegetables),🥬 Produce,6
FVM76,9.0,17.85,1.0,0.7,FVM76 (Fruits and Vegetables),🥬 Produce,6
FVM83,9.0,18.7,1.0,0.7,FVM83 (Fruits and Vegetables),🥬 Produce,6
FVM84,9.0,19.55,1.0,0.7,FVM84 (Fruits and Vegetables),🥬 Produce,6
FVM90,9.0,20.4,1.0,0.7,FVM90 (Fruits and Vegetables),🥬 Produce,6
FVM99,9.0,21.25,1.0,0.7,FVM99 (Fruits and Vegetables),🥬 Produce,6
FVN11,9.0,22.1,1.0,0.7,FVN11 (Fruits and Vegetables),🥬 Produce,6
FVN22,9.0,22.95,1.0,0.7,FVN22 (Fruits and Vegetables),🥬 Produce,6
FVN23,9.0,23.8,1.0,0.7,FVN23 (Fruits and Vegetables),🥬 Produce,6
FVN24,9.0,24.65,1.0,0.7,FVN24 (Fruits and Vegetables),🥬 Produce,6
FVN39,10.8,0.0,1.0,0.7,FVN39 (Fruits and Vegetables),🥬 Produce,7
FVN45,10.8,0.85,1.0,0.7,FVN45 (Fruits and Vegetables),🥬 Produce,7
FVN55,10.8,1.7,1.0,0.7,FVN55 (Fruits and Vegetables),🥬 Produce,7
FVN59,10.8,2.55,1.0,0.7,FVN59 (Fruits and Vegetables),🥬 Produce,7
FVN70,10.8,3.4,1.0,0.7,FVN70 (Fruits and Vegetables),🥬 Produce,7
FVN92,10.8,4.25,1.0,0.7,FVN92 (Fruits and Vegetables),🥬 Produce,7
FVO14,10.8,5.1,1.0,0.7,FVO14 (Fruits and Vegetables),🥬 Produce,7
FVO16,10.8,5.95,1.0,0.7,FVO16 (Fruits and Vegetables),🥬 Produce,7
FVO49,10.8,6.8,1.0,0.7,FVO49 (Fruits and Vegetables),🥬 Produce,7
FVO51,10.8,7.65,1.0,0.7,FVO51 (Fruits and Vegetables),🥬 Produce,7
FVO57,10.8,8.5,1.0,0.7,FVO57 (Fruits and Vegetables),🥬 Produce,7
FVO60,10.8,9.35,1.0,0.7,FVO60 (Fruits and Vegetables),🥬 Produce,7
FVO71,10.8,10.2,1.0,0.7,FVO71 (Fruits and Vegetables),🥬 Produce,7
FVO80,10.8,11.05,1.0,0.7,FVO80 (Fruits and Vegetables),🥬 Produce,7
FVO97,10.8,11.9,1.0,0.7,FVO97 (Fruits and Vegetables),🥬 Produce,7
FVO99,10.8,12.75,1.0,0.7,FVO99 (Fruits and Vegetables),🥬 Produce,7
FVP03,10.8,13.6,1.0,0.7,FVP03 (Fruits and Vegetables),🥬 Produce,7
FVP04,10.8,14.45,1.0,0.7,FVP04 (Fruits and Vegetables),🥬 Produce,7
FVP05,10.8,15.3,1.0,0.7,FVP05 (Fruits and Vegetables),🥬 Produce,7
FVP12,10.8,16.15,1.0,0.7,FVP12 (Fruits and Vegetables),🥬 Produce,7
FVP25,10.8,17.0,1.0,0.7,FVP25 (Fruits and Vegetables),🥬 Produce,7
FVP37,10.8,17.85,1.0,0.7,FVP37 (Fruits and Vegetables),🥬 Produce,7
FVP40,10.8,18.7,1.0,0.7,FVP40 (Fruits and Vegetables),🥬 Produce,7
FVP54,10.8,19.55,1.0,0.7,FVP54 (Fruits and Vegetables),🥬 Produce,7
FVP57,10.8,20.4,1.0,0.7,FVP57 (Fruits and Vegetables),🥬 Produce,7
FVP61,10.8,21.25,1.0,0.7,FVP61 (Fruits and Vegetables),🥬 Produce,7
FVP76,10.8,22.1,1.0,0.7,FVP76 (Fruits and Vegetables),🥬 Produce,7
FVP78,10.8,22.95,1.0,0.7,FVP78 (Fruits and Vegetables),🥬 Produce,7
FVP86,10.8,23.8,1.0,0.7,FVP86 (Fruits and Vegetables),🥬 Produce,7
FVP87,10.8,24.65,1.0,0.7,FVP87 (Fruits and Vegetables),🥬 Produce,7
FVP95,12.6,0.0,1.0,0.7,FVP95 (Fruits and Vegetables),🥬 Produce,8
FVQ03,12.6,0.85,1.0,0.7,FVQ03 (Fruits and Vegetables),🥬 Produce,8
FVQ13,12.6,1.7,1.0,0.7,FVQ13 (Fruits and Vegetables),🥬 Produce,8
FVQ14,12.6,2.55,1.0,0.7,FVQ14 (Fruits and Vegetables),🥬 Produce,8
FVQ47,12.6,3.4,1.0,0.7,FVQ47 (Fruits and Vegetables),🥬 Produce,8
FVQ48,12.6,4.25,1.0,0.7,FVQ48 (Fruits and Vegetables),🥬 Produce,8
FVQ56,12.6,5.1,1.0,0.7,FVQ56 (Fruits and Vegetables),🥬 Produce,8
FVQ67,12.6,5.95,1.0,0.7,FVQ67 (Fruits and Vegetables),🥬 Produce,8
FVQ68,12.6,6.8,1.0,0.7,FVQ68 (Fruits and Vegetables),🥬 Produce,8
FVQ72,12.6,7.65,1.0,0.7,FVQ72 (Fruits and Vegetables),🥬 Produce,8
FVQ81,12.6,8.5,1.0,0.7,FVQ81 (Fruits and Vegetables),🥬 Produce,8
FVR06,12.6,9.35,1.0,0.7,FVR06 (Fruits and Vegetables),🥬 Produce,8
FVR08,12.6,10.2,1.0,0.7,FVR08 (Fruits and Vegetables),🥬 Produce,8
FVR15,12.6,11.05,1.0,0.7,FVR15 (Fruits and Vegetables),🥬 Produce,8
FVR17,12.6,11.9,1.0,0.7,FVR17 (Fruits and Vegetables),🥬 Produce,8
FVR27,12.6,12.75,1.0,0.7,FVR27 (Fruits and Vegetables),🥬 Produce,8
FVR32,12.6,13.6,1.0,0.7,FVR32 (Fruits and Vegetables),🥬 Produce,8
FVR37,12.6,14.45,1.0,0.7,FVR37 (Fruits and Vegetables),🥬 Produce,8
FVR39,12.6,15.3,1.0,0.7,FVR39 (Fruits and Vegetables),🥬 Produce,8
FVR40,12.6,16.15,1.0,0.7,FVR40 (Fruits and Vegetables),🥬 Produce,8
FVR44,12.6,17.0,1.0,0.7,FVR44 (Fruits and Vegetables),🥬 Produce,8
FVR45,12.6,17.85,1.0,0.7,FVR45 (Fruits and Vegetables),🥬 Produce,8
FVR57,12.6,18.7,1.0,0.7,FVR57 (Fruits and Vegetables),🥬 Produce,8
FVR59,12.6,19.55,1.0,0.7,FVR59 (Fruits and Vegetables),🥬 Produce,8
FVR77,12.6,20.4,1.0,0.7,FVR77 (Fruits and Vegetables),🥬 Produce,8
FVR80,12.6,21.25,1.0,0.7,FVR80 (Fruits and Vegetables),🥬 Produce,8
FVR86,12.6,22.1,1.0,0.7,FVR86 (Fruits and Vegetables),🥬 Produce,8
FVR95,12.6,22.95,1.0,0.7,FVR95 (Fruits and Vegetables),🥬 Produce,8
FVR97,12.6,23.8,1.0,0.7,FVR97 (Fruits and Vegetables),🥬 Produce,8
FVS63,12.6,24.65,1.0,0.7,FVS63 (Fruits and Vegetables),🥬 Produce,8
FVS66,14.4,0.0,1.0,0.7,FVS66 (Fruits and Vegetables),🥬 Produce,9
FVS86,14.4,0.85,1.0,0.7,FVS86 (Fruits and Vegetables),🥬 Produce,9
FVS87,14.4,1.7,1.0,0.7,FVS87 (Fruits and Vegetables),🥬 Produce,9
FVT23,14.4,2.55,1.0,0.7,FVT23 (Fruits and Vegetables),🥬 Produce,9
FVT27,14.4,3.4,1.0,0.7,FVT27 (Fruits and Vegetables),🥬 Produce,9
FVT30,14.4,4.25,1.0,0.7,FVT30 (Fruits and Vegetables),🥬 Produce,9
FVT45,14.4,5.1,1.0,0.7,FVT45 (Fruits and Vegetables),🥬 Produce,9
FVT58,14.4,5.95,1.0,0.7,FVT58 (Fruits and Vegetables),🥬 Produce,9
FVT59,14.4,6.8,1.0,0.7,FVT59 (Fruits and Vegetables),🥬 Produce,9
FVT74,14.4,7.65,1.0,0.7,FVT74 (Fruits and Vegetables),🥬 Produce,9
FVT80,14.4,8.5,1.0,0.7,FVT80 (Fruits and Vegetables),🥬 Produce,9
FVT83,14.4,9.35,1.0,0.7,FVT83 (Fruits and Vegetables),🥬 Produce,9
FVU01,14.4,10.2,1.0,0.7,FVU01 (Fruits and Vegetables),🥬 Produce,9
FVU05,14.4,11.05,1.0,0.7,FVU05 (Fruits and Vegetables),🥬 Produce,9
FVU16,14.4,11.9,1.0,0.7,FVU16 (Fruits and Vegetables),🥬 Produce,9
FVU25,14.4,12.75,1.0,0.7,FVU25 (Fruits and Vegetables),🥬 Produce,9
FVU31,14.4,13.6,1.0,0.7,FVU31 (Fruits and Vegetables),🥬 Produce,9
FVU32,14.4,14.45,1.0,0.7,FVU32 (Fruits and Vegetables),🥬 Produce,9
FVU34,14.4,15.3,1.0,0.7,FVU34 (Fruits and Vegetables),🥬 Produce,9
FVU43,14.4,16.15,1.0,0.7,FVU43 (Fruits and Vegetables),🥬 Produce,9
FVU47,14.4,17.0,1.0,0.7,FVU47 (Fruits and Vegetables),🥬 Produce,9
FVU49,14.4,17.85,1.0,0.7,FVU49 (Fruits and Vegetables),🥬 Produce,9
FVU55,14.4,18.7,1.0,0.7,FVU55 (Fruits and Vegetables),🥬 Produce,9
FVU64,14.4,19.55,1.0,0.7,FVU64 (Fruits and Vegetables),🥬 Produce,9
FVU92,14.4,20.4,1.0,0.7,FVU92 (Fruits and Vegetables),🥬 Produce,9
FVV01,14.4,21.25,1.0,0.7,FVV01 (Fruits and Vegetables),🥬 Produce,9
FVV11,14.4,22.1,1.0,0.7,FVV11 (Fruits and Vegetables),🥬 Produce,9
FVV23,14.4,22.95,1.0,0.7,FVV23 (Fruits and Vegetables),🥬 Produce,9
FVV39,14.4,23.8,1.0,0.7,FVV39 (Fruits and Vegetables),🥬 Produce,9
FVV41,14.4,24.65,1.0,0.7,FVV41 (Fruits and Vegetables),🥬 Produce,9
FVV54,16.2,0.0,1.0,0.7,FVV54 (Fruits and Vegetables),🥬 Produce,10
FVV57,16.2,0.85,1.0,0.7,FVV57 (Fruits and Vegetables),🥬 Produce,10
FVV58,16.2,1.7,1.0,0.7,FVV58 (Fruits and Vegetables),🥬 Produce,10
FVV62,16.2,2.55,1.0,0.7,FVV62 (Fruits and Vegetables),🥬 Produce,10
FVV64,16.2,3.4,1.0,0.7,FVV64 (Fruits and Vegetables),🥬 Produce,10
FVV65,16.2,4.25,1.0,0.7,FVV65 (Fruits and Vegetables),🥬 Produce,10
FVV68,16.2,5.1,1.0,0.7,FVV68 (Fruits and Vegetables),🥬 Produce,10
FVV71,16.2,5.95,1.0,0.7,FVV71 (Fruits and Vegetables),🥬 Produce,10
FVV75,16.2,6.8,1.0,0.7,FVV75 (Fruits and Vegetables),🥬 Produce,10
FVV76,16.2,7.65,1.0,0.7,FVV76 (Fruits and Vegetables),🥬 Produce,10
FVV78,16.2,8.5,1.0,0.7,FVV78 (Fruits and Vegetables),🥬 Produce,10
FVV79,16.2,9.35,1.0,0.7,FVV79 (Fruits and Vegetables),🥬 Produce,10
FVV85,16.2,10.2,1.0,0.7,FVV85 (Fruits and Vegetables),🥬 Produce,10
FVW02,16.2,11.05,1.0,0.7,FVW02 (Fruits and Vegetables),🥬 Produce,10
FVW04,16.2,11.9,1.0,0.7,FVW04 (Fruits and Vegetables),🥬 Produce,10
FVW09,16.2,12.75,1.0,0.7,FVW09 (Fruits and Vegetables),🥬 Produce,10
FVW13,16.2,13.6,1.0,0.7,FVW13 (Fruits and Vegetables),🥬 Produce,10
FVW15,16.2,14.45,1.0,0.7,FVW15 (Fruits and Vegetables),🥬 Produce,10
FVW20,16.2,15.3,1.0,0.7,FVW20 (Fruits and Vegetables),🥬 Produce,10
