Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,initial_stock,current_stock
FDH14,17.1,0.0467696,Canned,141.2,514,454
FDA47,10.5,0.116576702,Baking Goods,163.1,564,103
FDG12,6.635,0.0,Baking Goods,121.3,1020,945
DRE60,0.0,0.278974075,Soft Drinks,225.4,1867,600
DRK49,14.15,0.035913805,Soft Drinks,41.4,1652,652
FDD03,13.3,0.079806266,Dairy,232.5,1147,724
FDS52,8.89,0.005505481,Frozen Foods,102.4,1995,232
FDW39,0.0,0.064625342,Meat,176.9,1586,1417
FDX34,0.0,0.071636937,Snack Foods,121.7,1662,1524
FDV11,9.1,0.0,Breads,173.2,1092,250
FDD17,7.5,0.032677678,Frozen Foods,239.1,891,520
FDZ16,16.85,0.160760054,Frozen Foods,192.4,918,78
FDZ46,7.485,0.06911065,Snack Foods,109.0,788,51
DRA12,11.6,0.041177505,Soft Drinks,140.3,878,780
FDY58,11.65,0.040081193,Snack Foods,227.1,730,225
NCF19,13.0,0.035307322,Household,47.5,1517,1074
DRJ13,12.65,0.063017847,Soft Drinks,159.1,540,185
FDB14,20.25,0.171938781,Canned,92.5,1551,1057
FDJ38,8.6,0.040197932,Canned,190.2,634,130
FDW11,12.6,0.049058014,Breads,62.7,700,631
FDL40,17.7,0.01161096,Frozen Foods,95.0,1279,837
DRI49,14.15,0.183507295,Soft Drinks,82.4,1429,758
FDV38,19.25,0.102349519,Dairy,52.8,1556,1455
DRG23,8.88,0.086708987,Hard Drinks,151.8,1571,703
NCP30,20.5,0.032835147,Household,40.3,1002,496
FDY25,0.0,0.033809913,Canned,180.6,906,402
NCH54,13.5,0.07266912,Household,160.3,1304,322
NCR53,0.0,0.144338493,Health and Hygiene,224.4,598,209
FDS52,8.89,0.009163216,Frozen Foods,101.7,1183,614
FDG02,7.855,0.011307038,Canned,188.5,1225,328
NCO26,7.235,0.076855628,Household,116.0,1460,1395
FDH35,11.68809968,0.059956876,Starchy Foods,165.5,1112,132
FDB51,6.92,0.038532062,Dairy,60.6,1985,834
FDX44,9.3,0.043209581,Fruits and Vegetables,90.8,1142,650
NCN07,18.5,0.056816465,Others,132.1,1528,120
NCC31,8.02,0.019866705,Household,154.6,1741,605
NCX54,9.195,0.048331717,Household,105.2,1002,451
NCO55,12.8,0.091221855,Others,105.6,1266,964
NCC30,16.6,0.027622076,Household,177.6,897,128
FDI16,14.0,0.0,Frozen Foods,53.1,1370,1114
FDP16,18.6,0.039355947,Frozen Foods,246.4,1294,28
FDB11,16.0,0.060836524,Starchy Foods,226.8,892,721
NCB06,17.6,0.082316506,Health and Hygiene,160.7,706,523
FDA45,21.25,0.155350299,Snack Foods,178.2,1538,332
NCO26,7.235,0.076841095,Household,117.5,1391,1320
DRJ25,14.6,0.151419185,Soft Drinks,50.4,1984,1153
FDR28,13.85,0.026001976,Frozen Foods,161.5,1363,1316
FDI04,13.65,0.073209447,Frozen Foods,197.6,1242,1196
DRK12,11.68809968,0.041683481,Soft Drinks,31.3,1764,1743
FDX20,7.365,0.042560252,Fruits and Vegetables,226.2,1063,943
NCI18,18.35,0.014081156,Household,223.6,1520,1047
FDB36,5.465,0.0,Baking Goods,132.6,595,98
FDN13,18.6,0.152918384,Breakfast,99.8,984,405
DRD24,13.85,0.030969274,Soft Drinks,140.9,1930,355
FDQ28,14.0,0.060376776,Frozen Foods,154.6,730,138
FDM22,14.0,0.04192285,Snack Foods,54.8,1248,1197
FDR07,11.68809968,0.077367431,Fruits and Vegetables,97.0,1694,28
FDV25,5.905,0.045838211,Canned,222.5,1040,930
DRF49,7.27,0.071077939,Soft Drinks,114.3,1559,495
FDW51,6.155,0.094659871,Meat,214.6,1024,1013
DRL01,19.5,0.077608838,Soft Drinks,233.5,1683,654
FDP25,15.2,0.021327477,Canned,216.9,1766,827
FDL50,12.15,0.042485444,Canned,125.0,1609,350
NCB30,11.68809968,0.025578526,Household,198.8,1077,553
FDW11,12.6,0.0489808,Breads,61.9,1181,298
NCM43,14.5,0.019471688,Others,164.8,1056,63
FDK44,16.6,0.122918852,Fruits and Vegetables,173.1,1512,754
FDM15,11.8,0.057373797,Meat,151.4,1145,769
FDS31,13.1,0.044155597,Fruits and Vegetables,178.8,1295,1238
FDI32,17.7,0.291865402,Fruits and Vegetables,115.2,1551,833
FDR47,17.85,0.0,Breads,196.6,1863,165
FDB35,12.3,0.064750025,Starchy Foods,92.7,1854,1566
NCU05,11.8,0.098312421,Health and Hygiene,81.5,1871,1255
DRY23,11.68809968,0.191013663,Soft Drinks,42.1,1996,1817
FDO24,11.1,0.176573035,Baking Goods,157.5,1754,1564
FDQ28,11.68809968,0.060134441,Frozen Foods,153.1,689,194
FDV39,11.3,0.007294652,Meat,198.1,1748,505
NCO17,11.68809968,0.128478462,Health and Hygiene,117.9,1908,1357
FDU50,5.75,0.075107656,Dairy,112.8,1900,1791
FDT12,11.68809968,0.049381406,Baking Goods,226.8,1806,792
FDK58,11.35,0.045165796,Snack Foods,100.0,1132,832
FDO08,11.68809968,0.09415375,Fruits and Vegetables,165.8,1127,857
NCW29,14.0,0.028907832,Health and Hygiene,130.4,1472,1416
FDE04,19.75,0.018059621,Frozen Foods,179.8,1782,805
NCB19,6.525,0.090436094,Household,85.1,1882,1622
FDV15,10.3,0.146399712,Meat,104.0,1209,1172
FDL58,5.78,0.074264356,Snack Foods,264.8,1979,760
FDA08,11.85,0.050186726,Fruits and Vegetables,164.2,1934,832
FDT43,16.35,0.020631654,Fruits and Vegetables,50.1,1148,282
NCX06,11.68809968,0.01561108,Household,182.6,817,361
FDT20,10.5,0.041395445,Fruits and Vegetables,37.6,1748,378
FDB41,19.0,0.097313129,Frozen Foods,48.1,1757,197
NCN55,14.6,0.059582996,Others,238.9,1183,1014
FDE40,11.68809968,0.098663652,Dairy,62.9,1163,1023
FDX49,11.68809968,0.101338651,Canned,232.6,1897,555
NCM53,18.75,0.052146456,Health and Hygiene,104.6,1995,355
FDE36,5.26,0.041764487,Baking Goods,161.9,1756,1563
FDN57,18.25,0.054344186,Snack Foods,140.2,1636,1452
FDI24,11.68809968,0.078362484,Baking Goods,177.9,941,16
FDI19,15.1,0.052339069,Meat,242.8,1063,638
FDF24,15.5,0.042464962,Baking Goods,81.6,1791,378
FDG52,13.65,0.065732883,Frozen Foods,45.7,1909,679
DRF36,16.1,0.023625114,Soft Drinks,189.4,1910,505
FDS45,11.68809968,0.051643608,Snack Foods,107.4,1636,898
FDX40,12.85,0.165694219,Frozen Foods,39.7,1451,75
DRK12,9.5,0.041878397,Soft Drinks,33.0,1604,230
DRC27,13.8,0.058091482,Dairy,245.2,1198,961
FDL58,5.78,0.0,Snack Foods,263.8,612,247
NCD30,19.7,0.026903714,Household,96.1,501,301
NCZ54,14.65,0.0,Household,161.6,1141,725
FDE10,6.67,0.150554711,Snack Foods,130.1,719,214
FDR44,6.11,0.0,Fruits and Vegetables,131.3,1354,1181
FDP28,13.65,0.134975628,Frozen Foods,260.1,1748,68
FDX15,17.2,0.15616879,Meat,160.7,884,392
FDA39,6.32,0.0,Meat,40.3,1926,1108
FDY24,4.88,0.133700752,Baking Goods,52.9,1653,266
FDC60,5.425,0.115119905,Baking Goods,88.4,1576,1092
FDH28,15.85,0.110030997,Frozen Foods,37.3,1229,610
FDT25,7.5,0.051038045,Canned,121.7,1939,1370
DRJ13,12.65,0.062837968,Soft Drinks,161.6,746,727
NCO07,11.68809968,0.017116983,Others,212.0,1335,672
FDW20,20.75,0.024129332,Fruits and Vegetables,124.2,1962,422
DRF27,11.68809968,0.049754975,Dairy,152.1,702,605
FDS49,9.0,0.0,Canned,79.8,1707,1197
FDX25,100.0,0.101561568,Canned,181.9,622,114
NCX42,0.0,0.005949644,Household,165.7,900,219
FDG33,0.0,0.13956116,Seafood,170.5,1266,30
FDL56,14.1,0.126035694,Fruits and Vegetables,86.4,793,522
FDF14,7.55,0.027164679,Canned,152.3,779,342
NCD06,13.0,0.099325278,Household,45.4,1383,1153
DRM47,0.0,0.04357366,Hard Drinks,192.9,697,616
FDS46,0.0,0.082741482,Snack Foods,118.8,1481,538
FDB35,12.3,0.064565202,Starchy Foods,93.0,1251,738
FDX21,0.0,0.084554569,Snack Foods,109.9,643,1
NCU05,0.0,0.058451805,Health and Hygiene,80.0,1108,870
NCR38,17.25,0.113748685,Household,251.4,1724,100
NCR18,15.85,0.020603511,Household,42.7,1647,1556
NCU41,18.85,0.052044976,Health and Hygiene,192.2,686,57
FDY56,16.35,0.062764429,Fruits and Vegetables,227.6,1849,1412
DRJ51,14.1,0.087977262,Dairy,229.1,963,691
FDK21,7.905,0.010010425,Snack Foods,249.0,1872,940
FDY25,12.0,0.033946163,Canned,179.4,1159,340
FDU44,12.15,0.058414678,Fruits and Vegetables,163.5,1263,860
FDL43,10.1,0.027106459,Meat,75.4,1454,1043
FDF05,17.5,0.027022883,Frozen Foods,262.5,902,254
DRF15,0.0,0.058153409,Dairy,152.0,1869,1340
FDL20,17.1,0.128937661,Fruits and Vegetables,112.4,646,37
FDV32,7.785,0.088846306,Fruits and Vegetables,61.5,1671,659
FDJ34,11.8,0.09357779,Snack Foods,126.0,1363,927
FDG08,13.15,0.165694678,Fruits and Vegetables,171.9,988,25
FDQ04,0.0,0.148392623,Frozen Foods,41.6,1428,453
FDW13,8.5,0.098438394,Canned,51.1,1050,736
NCI17,8.645,0.143303291,Health and Hygiene,96.3,837,512
FDY03,17.6,0.076276208,Meat,110.9,1371,818
FDS12,9.1,0.175103435,Baking Goods,127.5,1140,772
FDJ55,12.8,0.023511371,Meat,225.9,972,12
DRK01,7.63,0.06105276,Soft Drinks,95.4,650,559
FDG28,9.285,0.049559042,Frozen Foods,246.4,1938,920
FDY38,13.6,0.119418124,Dairy,231.0,1821,824
FDN01,8.895,0.072545601,Breakfast,176.2,762,370
NCR54,16.35,0.090486828,Household,195.2,643,290
FDG29,17.6,0.056245075,Frozen Foods,43.3,845,331
FDG24,7.975,0.014618973,Baking Goods,85.2,1123,260
FDG59,15.85,0.043479126,Starchy Foods,36.7,1516,1228
FDM28,15.7,0.045166237,Frozen Foods,178.7,1380,696
FDW04,8.985,0.057827101,Frozen Foods,128.8,501,174
FDS26,20.35,0.089394766,Dairy,260.2,1396,949
FDQ56,6.59,0.10550944,Fruits and Vegetables,85.7,1827,386
FDK51,19.85,0.005234153,Dairy,264.1,753,467
FDL22,16.85,0.036390174,Snack Foods,91.4,952,414
FDH19,0.0,0.03292824,Meat,173.2,1560,68
FDY55,16.75,0.081252534,Fruits and Vegetables,256.5,1683,1495
FDY03,17.6,0.076552407,Meat,110.5,1514,1127
FDK21,7.905,0.016758569,Snack Foods,250.4,508,245
FDZ10,0.0,0.044248175,Snack Foods,126.2,1756,1184
FDZ32,7.785,0.038288087,Fruits and Vegetables,103.2,1622,199
NCZ18,7.825,0.186032678,Household,253.1,1315,215
NCF07,0.0,0.031867464,Household,101.0,707,211
DRE49,20.75,0.021370201,Soft Drinks,153.0,1654,507
FDJ08,0.0,0.193772568,Fruits and Vegetables,190.4,903,15
FDT39,6.26,0.009866049,Meat,151.1,651,497
FDE08,18.2,0.082551042,Fruits and Vegetables,147.4,553,331
NCD06,13.0,0.099729888,Household,46.3,1643,716
FDB57,20.25,0.018801549,Fruits and Vegetables,222.2,1127,550
NCT54,8.695,0.119721451,Household,95.5,1086,941
DRF49,7.27,0.071222087,Soft Drinks,113.6,1943,255
FDM25,0.0,0.060371962,Breakfast,174.1,1945,991
FDF20,12.85,0.033287541,Fruits and Vegetables,198.5,603,171
FDH27,7.075,0.05858462,Dairy,142.7,753,648
FDV60,0.0,0.11679292,Baking Goods,196.2,1750,999
FDY59,8.195,0.031452265,Baking Goods,94.3,1635,1521
FDK36,7.09,0.00721395,Baking Goods,47.9,1009,470
NCM31,6.095,0.081196619,Others,141.4,1996,1407
FDE33,19.35,0.049916364,Fruits and Vegetables,80.3,598,588
FDU36,6.15,0.04627095,Baking Goods,99.3,652,506
FDV13,0.0,0.02747716,Canned,88.0,1413,991
FDV20,0.0,0.104704537,Fruits and Vegetables,125.3,1377,1009
NCQ54,17.7,0.012540003,Household,167.0,837,526
FDO23,17.85,0.147023834,Breads,93.7,1321,803
DRE60,9.395,0.159657596,Soft Drinks,225.0,1686,830
DRP47,15.75,0.141398626,Hard Drinks,250.5,1456,1348
FDB21,7.475,0.148821808,Fruits and Vegetables,241.3,660,213
FDR04,7.075,0.0,Frozen Foods,98.0,1300,1231
FDX23,6.445,0.029691762,Baking Goods,92.6,897,168
FDX19,19.1,0.096715523,Fruits and Vegetables,235.1,1800,1353
FDD40,20.25,0.014790559,Dairy,193.6,1315,1303
FDA01,15.0,0.054378253,Canned,59.2,1915,977
FDS33,6.67,0.123428594,Snack Foods,89.2,1658,1328
FDM50,0.0,0.029943463,Canned,60.2,1718,145
FDB29,16.7,0.052368061,Frozen Foods,112.7,900,774
FDF46,7.07,0.093861144,Snack Foods,115.6,1139,515
FDA33,6.48,0.033968647,Snack Foods,148.0,1556,1113
FDC08,19.0,0.173154079,Fruits and Vegetables,228.3,1187,452
FDB53,13.35,0.139735226,Frozen Foods,147.5,959,59
FDY31,0.0,0.043351896,Fruits and Vegetables,146.6,1454,1334
DRQ35,0.0,0.042086652,Hard Drinks,122.4,969,527
FDX36,9.695,0.12848269,Baking Goods,223.9,1898,1250
DRD13,15.0,0.049357077,Soft Drinks,62.6,1545,1023
FDC52,11.15,0.008326735,Dairy,150.0,1249,473
FDB45,20.85,0.021362955,Fruits and Vegetables,103.2,537,78
NCK19,9.8,0.151420934,Others,194.3,729,432
FDV51,16.35,0.032511818,Meat,165.1,1888,1824
FDZ35,9.6,0.022323658,Breads,101.3,1062,400
NCW17,0.0,0.019292355,Health and Hygiene,130.0,937,278
FDV59,13.35,0.048124443,Breads,216.7,1806,56
DRH39,20.7,0.09261307,Dairy,76.4,526,185
FDN60,0.0,0.094697274,Baking Goods,158.5,725,397
FDU55,16.2,0.035984104,Fruits and Vegetables,260.6,1800,604
FDN58,0.0,0.056596985,Snack Foods,231.0,1297,787
FDC41,0.0,0.2047,Frozen Foods,76.9,783,157
FDO01,0.0,0.020618324,Breakfast,129.4,1378,588
NCO43,5.5,0.04709821,Others,101.3,1459,465
FDQ07,15.1,0.087584126,Fruits and Vegetables,221.7,952,662
FDF28,15.7,0.038078899,Frozen Foods,122.9,1519,445
FDM01,7.895,0.095102092,Breakfast,104.4,1315,800
FDY49,0.0,0.011953902,Canned,164.5,1158,1096
FDR24,17.35,0.062799379,Baking Goods,88.2,1046,928
NCY18,7.285,0.031125709,Household,174.3,1715,16
NCY30,20.25,0.026005891,Household,181.0,1572,1554
FDJ22,0.0,0.09246392,Snack Foods,191.0,516,325
DRI37,15.85,0.107765165,Soft Drinks,59.6,1695,994
FDL27,6.17,0.010647477,Meat,138.5,1743,1655
NCO30,19.5,0.015749341,Household,182.3,657,612
NCB07,19.2,0.077628053,Household,197.6,976,545
FDX25,16.7,0.0,Canned,181.2,1569,595
FDP59,20.85,0.056695731,Breads,104.1,1896,920
FDR59,14.5,0.063993068,Breads,260.5,1017,707
FDT27,11.395,0.069529262,Meat,233.2,598,201
DRI01,7.97,0.034452949,Soft Drinks,174.0,1560,343
FDU09,7.71,0.06670068,Snack Foods,55.3,779,522
FDH26,19.25,0.034699737,Canned,141.7,1872,858
FDH27,7.075,0.058346939,Dairy,142.2,996,399
FDN39,0.0,0.065203103,Meat,166.1,801,217
FDH40,11.6,0.078929571,Frozen Foods,79.9,680,444
FDJ56,0.0,0.182514881,Fruits and Vegetables,98.8,1106,221
DRN47,12.1,0.016895293,Hard Drinks,178.6,1622,1406
NCO17,10.0,0.073379745,Health and Hygiene,118.2,1199,591
FDX60,14.35,0.08075758,Baking Goods,81.9,1492,1030
FDT22,10.395,0.112271498,Snack Foods,58.2,1639,1295
FDX26,0.0,0.153741385,Dairy,182.6,690,15
FDG45,8.1,0.127929521,Fruits and Vegetables,211.5,752,423
FDD44,8.05,0.07838564,Fruits and Vegetables,256.5,1480,523
FDS15,9.195,0.078502143,Meat,108.8,1427,802
FDL51,20.7,0.047684831,Dairy,212.6,1684,20
FDL32,15.7,0.123159656,Fruits and Vegetables,110.2,1779,1713
FDZ07,0.0,0.0,Fruits and Vegetables,60.2,1846,227
NCW53,0.0,0.053392944,Health and Hygiene,193.8,627,287
NCA54,16.5,0.036715907,Household,180.0,517,133
FDX09,9.0,0.065236932,Snack Foods,176.4,1065,403
FDO51,6.785,0.041947547,Meat,41.2,1069,436
FDW49,19.5,0.082888496,Canned,178.6,1846,828
FDB27,7.575,0.055390121,Dairy,195.3,1185,933
FDF45,18.2,0.012194556,Fruits and Vegetables,57.8,1125,258
FDV02,16.75,0.060495243,Dairy,169.8,1811,102
FDY28,7.47,0.0,Frozen Foods,214.3,1353,992
FDX31,0.0,0.014753811,Fruits and Vegetables,231.8,1461,768
FDR43,0.0,0.160707489,Fruits and Vegetables,38.0,654,100
FDP51,13.85,0.085622362,Meat,119.4,989,197
FDL52,6.635,0.046350909,Frozen Foods,37.5,1909,812
FDR44,6.11,0.102920886,Fruits and Vegetables,130.5,1284,225
FDB34,15.25,0.026604781,Snack Foods,86.2,1627,942
FDC50,15.85,0.0,Canned,96.4,1916,462
FDT57,15.2,0.031860325,Snack Foods,235.1,745,236
FDP22,0.0,0.0,Snack Foods,52.7,1699,1049
DRE49,20.75,0.021250002,Soft Drinks,150.5,1562,1144
FDM40,10.195,0.159936948,Frozen Foods,143.2,2000,1933
FDY32,7.605,0.129503146,Fruits and Vegetables,164.0,1258,505
FDW07,18.0,0.142688846,Fruits and Vegetables,88.6,1037,813
FDU02,0.0,0.179484411,Dairy,228.9,1420,766
NCF18,18.35,0.089163056,Household,191.4,907,633
FDQ56,6.59,0.105761491,Fruits and Vegetables,84.9,1024,990
FDN58,13.8,0.056960814,Snack Foods,230.1,1327,617
FDG35,21.2,0.00704098,Starchy Foods,173.6,1402,272
FDY34,10.5,0.011026594,Snack Foods,166.5,535,231
NCE19,8.97,0.093203257,Household,52.8,1184,767
NCK31,0.0,0.026916794,Others,51.0,519,441
NCJ29,10.6,0.035264298,Health and Hygiene,86.1,820,495
FDT59,13.65,0.015908424,Breads,231.2,1011,23
NCX41,19.0,0.017719277,Health and Hygiene,211.0,899,108
FDU45,0.0,0.035334201,Snack Foods,115.4,1153,501
FDW24,0.0,0.065652494,Baking Goods,48.9,1471,24
FDF22,6.865,0.056919038,Snack Foods,212.8,970,186
FDM60,10.8,0.048143292,Baking Goods,40.2,1666,287
FDR02,16.7,0.022047313,Dairy,110.3,1615,337
DRP35,0.0,0.090427268,Hard Drinks,126.2,1877,1060
FDS48,15.15,0.027779254,Baking Goods,150.2,1333,136
NCZ42,10.5,0.0,Household,238.3,1226,507
FDZ38,17.6,0.008033611,Dairy,174.2,1353,226
FDH19,19.35,0.033088472,Meat,175.5,550,319
NCB55,15.7,0.160663021,Household,59.5,1074,915
FDC15,18.1,0.178975721,Dairy,155.5,1713,1205
FDF11,10.195,0.017627888,Starchy Foods,239.7,1648,85
FDW35,0.0,0.0194158,Breads,41.6,649,466
FDB44,6.655,0.016993225,Fruits and Vegetables,211.1,813,52
NCC06,19.0,0.027139013,Household,127.3,1069,859
FDR04,7.075,0.03777249,Frozen Foods,98.0,1865,866
FDB17,13.15,0.036746479,Frozen Foods,181.3,804,234
FDW43,20.1,0.022460102,Fruits and Vegetables,226.8,1181,432
FDA27,20.35,0.0,Dairy,256.8,1337,998
NCU41,18.85,0.05213575,Health and Hygiene,190.2,1577,99
FDY56,16.35,0.062508438,Fruits and Vegetables,227.1,1502,989
FDV39,11.3,0.007309544,Meat,196.2,943,598
FDN32,17.5,0.015623754,Fruits and Vegetables,182.6,1112,402
FDW07,18.0,0.142978223,Fruits and Vegetables,87.5,1492,395
FDZ27,7.935,0.017191055,Dairy,51.5,763,526
FDW23,0.0,0.143592939,Baking Goods,37.3,1576,414
FDU01,20.25,0.011995271,Canned,184.6,1503,938
FDF10,15.5,0.15717236,Snack Foods,149.1,504,100
DRH03,0.0,0.061393095,Dairy,91.8,1626,676
FDW27,0.0,0.264124669,Meat,155.7,1719,462
DRI13,15.35,0.020310046,Soft Drinks,218.1,1273,540
NCR05,10.1,0.054630834,Health and Hygiene,200.2,1376,1153
FDB29,16.7,0.052517969,Frozen Foods,115.4,1491,83
FDL51,20.7,0.047565208,Dairy,213.5,1383,270
FDB11,16.0,0.060797393,Starchy Foods,223.8,1873,243
FDI35,14.0,0.041291169,Starchy Foods,180.8,546,387
FDX08,12.85,0.022604051,Fruits and Vegetables,181.4,1366,213
FDP59,20.85,0.056580228,Breads,105.7,1322,817
NCJ18,12.35,0.164196823,Household,120.5,1435,1189
FDJ41,6.85,0.022976497,Frozen Foods,261.7,1155,58
FDU08,10.3,0.027310252,Fruits and Vegetables,101.0,768,601
FDS09,0.0,0.141975462,Snack Foods,49.6,869,842
DRH15,8.775,0.0,Dairy,45.9,1135,923
NCV17,18.85,0.01619866,Health and Hygiene,129.3,1629,1527
NCO54,0.0,0.014205168,Household,56.8,1156,122
FDE24,14.85,0.09344495,Baking Goods,141.1,619,412
FDH53,20.5,0.019199733,Frozen Foods,84.4,1330,1162
