Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,initial_stock,current_stock,time_stamp
CAG78,800,0.101561568,Canned,181.9,158.0,158.0,2025-07-19 20:07:59
SEY20,300,0.13956116,Seafood,170.5,142.0,142.0,2025-07-19 20:07:59
FVV92,1000,0.126035694,Fruits and Vegetables,86.4,98.0,98.0,2025-07-19 20:07:59
HOM17,1500,0.099325278,Household,45.4,267.0,267.0,2025-07-19 20:07:59
HOA23,1000,0.113748685,Household,251.4,70.0,70.0,2025-07-19 20:07:59
FVQ89,1000,0.128937661,Fruits and Vegetables,112.4,177.0,177.0,2025-07-19 20:07:59
FVR26,300,0.165694678,Fruits and Vegetables,171.9,228.0,228.0,2025-07-19 20:07:59
FRU57,1500,0.148392623,Frozen Foods,41.6,209.0,209.0,2025-07-19 20:07:59
CAD89,400,0.098438394,Canned,51.1,164.0,164.0,2025-07-19 20:07:59
HHM05,250,0.143303291,Health and Hygiene,96.3,176.0,176.0,2025-07-19 20:07:59
BAR55,500,0.175103435,Baking Goods,127.5,253.0,253.0,2025-07-19 20:07:59
DAV64,1000,0.119418124,Dairy,231.0,132.0,132.0,2025-07-19 20:07:59
FVM54,200,0.10550944,Fruits and Vegetables,85.7,128.0,128.0,2025-07-19 20:07:59
HOZ63,500,0.186032678,Household,253.1,157.0,157.0,2025-07-19 20:07:59
FVB99,1000,0.193772568,Fruits and Vegetables,190.4,87.0,87.0,2025-07-19 20:07:59
HOD20,1500,0.099729888,Household,46.3,216.0,216.0,2025-07-19 20:07:59
HOZ30,750,0.119721451,Household,95.5,253.0,253.0,2025-07-19 20:07:59
BAF71,250,0.11679292,Baking Goods,196.2,234.0,234.0,2025-07-19 20:07:59
FVS96,500,0.104704537,Fruits and Vegetables,125.3,131.0,131.0,2025-07-19 20:07:59
BRP73,500,0.147023834,Breads,93.7,244.0,244.0,2025-07-19 20:07:59
SDR28,330,0.159657596,Soft Drinks,225.0,206.0,206.0,2025-07-19 20:07:59
HDK48,500,0.141398626,Hard Drinks,250.5,233.0,233.0,2025-07-19 20:07:59
FVE29,300,0.148821808,Fruits and Vegetables,241.3,229.0,229.0,2025-07-19 20:07:59
FVH23,300,0.096715523,Fruits and Vegetables,235.1,91.0,91.0,2025-07-19 20:07:59
SFA41,100,0.123428594,Snack Foods,89.2,124.0,124.0,2025-07-19 20:07:59
FVS48,200,0.173154079,Fruits and Vegetables,228.3,244.0,244.0,2025-07-19 20:07:59
FRI97,1000,0.139735226,Frozen Foods,147.5,175.0,175.0,2025-07-19 20:07:59
BAU11,1000,0.12848269,Baking Goods,223.9,91.0,91.0,2025-07-19 20:07:59
BAF81,1000,0.094697274,Baking Goods,158.5,78.0,78.0,2025-07-19 20:07:59
FRE34,1500,0.2047,Frozen Foods,76.9,150.0,150.0,2025-07-19 20:07:59
BKR16,200,0.095102092,Breakfast,104.4,141.0,141.0,2025-07-19 20:07:59
SDS80,500,0.107765165,Soft Drinks,59.6,208.0,208.0,2025-07-19 20:07:59
FVH69,1000,0.182514881,Fruits and Vegetables,98.8,153.0,153.0,2025-07-19 20:07:59
SFH68,30,0.112271498,Snack Foods,58.2,68.0,68.0,2025-07-19 20:07:59
DAS90,200,0.153741385,Dairy,182.6,243.0,243.0,2025-07-19 20:07:59
FVC32,300,0.127929521,Fruits and Vegetables,211.5,104.0,104.0,2025-07-19 20:07:59
FVQ42,500,0.123159656,Fruits and Vegetables,110.2,217.0,217.0,2025-07-19 20:07:59
FVB03,300,0.160707489,Fruits and Vegetables,38.0,103.0,103.0,2025-07-19 20:07:59
FVK40,300,0.102920886,Fruits and Vegetables,130.5,149.0,149.0,2025-07-19 20:07:59
FRB60,1500,0.159936948,Frozen Foods,143.2,192.0,192.0,2025-07-19 20:07:59
FVB16,300,0.129503146,Fruits and Vegetables,164.0,62.0,62.0,2025-07-19 20:07:59
FVP42,500,0.142688846,Fruits and Vegetables,88.6,94.0,94.0,2025-07-19 20:07:59
DAE87,500,0.179484411,Dairy,228.9,93.0,93.0,2025-07-19 20:07:59
FVC92,500,0.105761491,Fruits and Vegetables,84.9,178.0,178.0,2025-07-19 20:07:59
HOX39,750,0.160663021,Household,59.5,281.0,281.0,2025-07-19 20:07:59
DAX42,500,0.178975721,Dairy,155.5,114.0,114.0,2025-07-19 20:07:59
FVI05,500,0.142978223,Fruits and Vegetables,87.5,174.0,174.0,2025-07-19 20:07:59
BAE79,500,0.143592939,Baking Goods,37.3,268.0,268.0,2025-07-19 20:07:59
SFZ79,100,0.15717236,Snack Foods,149.1,250.0,250.0,2025-07-19 20:07:59
MEB27,300,0.264124669,Meat,155.7,159.0,159.0,2025-07-19 20:07:59
HOX06,1500,0.164196823,Household,120.5,171.0,171.0,2025-07-19 20:07:59
SFN44,75,0.141975462,Snack Foods,49.6,138.0,138.0,2025-07-19 20:07:59
CAI05,800,0.154120252,Canned,51.9,84.0,84.0,2025-07-19 20:07:59
HOK74,500,0.103422709,Household,169.9,95.0,95.0,2025-07-19 20:07:59
CAZ63,400,0.102723919,Canned,93.2,197.0,197.0,2025-07-19 20:07:59
FRQ73,600,0.127541722,Frozen Foods,84.9,185.0,185.0,2025-07-19 20:07:59
HOG89,1500,0.119513002,Household,93.4,248.0,248.0,2025-07-19 20:07:59
CAH88,800,0.115194717,Canned,258.3,226.0,226.0,2025-07-19 20:07:59
FVJ99,500,0.103195401,Fruits and Vegetables,117.8,176.0,176.0,2025-07-19 20:07:59
DAY62,200,0.13121032,Dairy,74.0,63.0,63.0,2025-07-19 20:07:59
FRO02,1000,0.192650072,Frozen Foods,37.5,231.0,231.0,2025-07-19 20:07:59
HHI41,500,0.098031771,Health and Hygiene,151.3,130.0,130.0,2025-07-19 20:07:59
FVH89,1000,0.100277876,Fruits and Vegetables,196.9,77.0,77.0,2025-07-19 20:07:59
FRD50,600,0.099252438,Frozen Foods,87.5,105.0,105.0,2025-07-19 20:07:59
DAH30,500,0.228993134,Dairy,263.5,178.0,178.0,2025-07-19 20:07:59
BKF91,400,0.149404057,Breakfast,192.8,231.0,231.0,2025-07-19 20:07:59
FVA27,500,0.161817014,Fruits and Vegetables,37.8,137.0,137.0,2025-07-19 20:07:59
DAP14,200,0.297883712,Dairy,156.7,195.0,195.0,2025-07-19 20:07:59
HOQ03,1000,0.124967595,Household,112.8,109.0,109.0,2025-07-19 20:07:59
HOG13,1500,0.160178832,Household,160.3,168.0,168.0,2025-07-19 20:07:59
FVF50,500,0.104035148,Fruits and Vegetables,227.8,168.0,168.0,2025-07-19 20:07:59
CAS64,400,0.233039817,Canned,49.5,250.0,250.0,2025-07-19 20:07:59
DAN91,500,0.17824575,Dairy,158.1,79.0,79.0,2025-07-19 20:07:59
FRA06,1000,0.140241213,Frozen Foods,150.2,279.0,279.0,2025-07-19 20:07:59
BAV40,1000,0.131152799,Baking Goods,78.6,282.0,282.0,2025-07-19 20:07:59
DAQ86,1000,0.132327406,Dairy,168.4,208.0,208.0,2025-07-19 20:07:59
FVJ24,500,0.100330684,Fruits and Vegetables,123.4,76.0,76.0,2025-07-19 20:07:59
BKU89,200,0.131128467,Breakfast,93.2,102.0,102.0,2025-07-19 20:07:59
HDH33,700,0.125793938,Hard Drinks,36.3,86.0,86.0,2025-07-19 20:07:59
BKP75,400,0.131665479,Breakfast,91.9,69.0,69.0,2025-07-19 20:07:59
FVC61,300,0.122475364,Fruits and Vegetables,175.6,71.0,71.0,2025-07-19 20:07:59
SFW82,50,0.107891398,Snack Foods,182.8,249.0,249.0,2025-07-19 20:07:59
SFD49,30,0.128065918,Snack Foods,104.4,99.0,99.0,2025-07-19 20:07:59
BAL22,1000,0.121485195,Baking Goods,40.2,226.0,226.0,2025-07-19 20:07:59
SFL19,50,0.121250374,Snack Foods,193.9,85.0,85.0,2025-07-19 20:07:59
FRQ77,1000,0.100230114,Frozen Foods,113.0,185.0,185.0,2025-07-19 20:07:59
HOT76,500,0.167383061,Household,175.7,130.0,130.0,2025-07-19 20:07:59
STF11,1000,0.141106202,Starchy Foods,87.9,244.0,244.0,2025-07-19 20:07:59
STS11,400,0.123086812,Starchy Foods,207.0,111.0,111.0,2025-07-19 20:07:59
FVS56,1000,0.105646853,Fruits and Vegetables,42.9,226.0,226.0,2025-07-19 20:07:59
SFH43,75,0.118149377,Snack Foods,160.6,164.0,164.0,2025-07-19 20:07:59
CAC17,400,0.134532392,Canned,39.4,224.0,224.0,2025-07-19 20:07:59
FVP63,300,0.148492521,Fruits and Vegetables,240.7,110.0,110.0,2025-07-19 20:07:59
SDU75,500,0.107076832,Soft Drinks,58.8,151.0,151.0,2025-07-19 20:07:59
FVE63,200,0.128674983,Fruits and Vegetables,112.4,157.0,157.0,2025-07-19 20:07:59
CAW68,800,0.188322664,Canned,148.5,74.0,74.0,2025-07-19 20:07:59
DAF68,500,0.144017405,Dairy,238.3,179.0,179.0,2025-07-19 20:07:59
SFR04,75,0.115978122,Snack Foods,183.4,131.0,131.0,2025-07-19 20:07:59
CAL37,400,0.18454121,Canned,211.6,150.0,150.0,2025-07-19 20:07:59
HOS83,750,0.114160573,Household,253.2,78.0,78.0,2025-07-19 20:07:59
SDO05,1000,0.175352413,Soft Drinks,147.4,102.0,102.0,2025-07-19 20:07:59
HOO49,750,0.167444431,Household,194.6,176.0,176.0,2025-07-19 20:07:59
FVK19,300,0.111298111,Fruits and Vegetables,191.8,178.0,178.0,2025-07-19 20:07:59
HOR09,750,0.184689756,Household,35.4,108.0,108.0,2025-07-19 20:07:59
CAF05,800,0.104245198,Canned,105.4,250.0,250.0,2025-07-19 20:07:59
MEF44,300,0.179806961,Meat,95.3,237.0,237.0,2025-07-19 20:07:59
FRF73,400,0.105445801,Frozen Foods,214.4,124.0,124.0,2025-07-19 20:07:59
FVH98,1000,0.210375806,Fruits and Vegetables,178.2,164.0,164.0,2025-07-19 20:07:59
CAR37,400,0.18520944,Canned,213.0,224.0,224.0,2025-07-19 20:07:59
MEP34,1000,0.098566832,Meat,98.3,118.0,118.0,2025-07-19 20:07:59
FVM27,1000,0.11084417,Fruits and Vegetables,189.3,77.0,77.0,2025-07-19 20:07:59
SFN27,50,0.116915909,Snack Foods,159.5,115.0,115.0,2025-07-19 20:07:59
HOZ25,1000,0.164864915,Household,255.3,71.0,71.0,2025-07-19 20:07:59
HOI16,1500,0.185218446,Household,36.3,77.0,77.0,2025-07-19 20:07:59
DAW02,200,0.162462044,Dairy,55.9,209.0,209.0,2025-07-19 20:07:59
DAT36,200,0.114127418,Dairy,147.2,192.0,192.0,2025-07-19 20:07:59
SEW78,500,0.146895866,Seafood,149.6,151.0,151.0,2025-07-19 20:07:59
CAU91,800,0.133673087,Canned,41.5,208.0,208.0,2025-07-19 20:07:59
MEU29,500,0.139419417,Meat,66.1,153.0,153.0,2025-07-19 20:07:59
FVI06,500,0.165328057,Fruits and Vegetables,170.7,127.0,127.0,2025-07-19 20:07:59
DAO34,500,0.09646733,Dairy,42.8,193.0,193.0,2025-07-19 20:07:59
CAT34,800,0.141642219,Canned,168.1,200.0,200.0,2025-07-19 20:07:59
SFJ21,30,0.1164455,Snack Foods,182.8,112.0,112.0,2025-07-19 20:07:59
FVM68,1000,0.121848436,Fruits and Vegetables,46.8,160.0,160.0,2025-07-19 20:07:59
HOP03,500,0.108470504,Household,33.5,103.0,103.0,2025-07-19 20:07:59
SFV77,50,0.122830885,Snack Foods,87.0,200.0,200.0,2025-07-19 20:07:59
MEX93,300,0.133281968,Meat,63.3,194.0,194.0,2025-07-19 20:07:59
CAZ45,800,0.121149472,Canned,93.8,246.0,246.0,2025-07-19 20:07:59
FVO74,500,0.096733815,Fruits and Vegetables,233.2,144.0,144.0,2025-07-19 20:07:59
FVM26,1000,0.102607233,Fruits and Vegetables,54.0,265.0,265.0,2025-07-19 20:07:59
SFF72,50,0.160624116,Snack Foods,143.8,202.0,202.0,2025-07-19 20:07:59
SFU51,30,0.149669322,Snack Foods,180.3,179.0,179.0,2025-07-19 20:07:59
SDJ54,1000,0.167799329,Soft Drinks,239.5,91.0,91.0,2025-07-19 20:07:59
HOF11,1500,0.167351411,Household,176.1,226.0,226.0,2025-07-19 20:07:59
MEE12,1000,0.150341867,Meat,83.1,193.0,193.0,2025-07-19 20:07:59
FVQ91,1000,0.156286566,Fruits and Vegetables,239.0,131.0,131.0,2025-07-19 20:07:59
FRE43,500,0.109003832,Frozen Foods,145.2,177.0,177.0,2025-07-19 20:07:59
SDC14,1500,0.113234914,Soft Drinks,186.4,279.0,279.0,2025-07-19 20:07:59
SFF67,50,0.117537563,Snack Foods,195.4,206.0,206.0,2025-07-19 20:07:59
BAC57,250,0.137697119,Baking Goods,47.1,136.0,136.0,2025-07-19 20:07:59
FVO11,200,0.220225608,Fruits and Vegetables,85.6,72.0,72.0,2025-07-19 20:07:59
FVR34,1000,0.114916546,Fruits and Vegetables,188.4,151.0,151.0,2025-07-19 20:07:59
DAL52,500,0.146973462,Dairy,184.1,248.0,248.0,2025-07-19 20:07:59
CAG07,800,0.328390948,Canned,146.0,218.0,218.0,2025-07-19 20:07:59
DAF74,500,0.13267058,Dairy,96.5,121.0,121.0,2025-07-19 20:07:59
HOM04,1000,0.110356797,Household,62.1,197.0,197.0,2025-07-19 20:07:59
DAJ18,1000,0.164542555,Dairy,112.3,95.0,95.0,2025-07-19 20:07:59
SFB61,100,0.160292264,Snack Foods,94.7,128.0,128.0,2025-07-19 20:07:59
CAK41,400,0.112859454,Canned,118.3,155.0,155.0,2025-07-19 20:07:59
HON00,1000,0.119345629,Household,262.0,177.0,177.0,2025-07-19 20:07:59
DAD96,1000,0.108148913,Dairy,95.7,199.0,199.0,2025-07-19 20:07:59
FVH46,1000,0.105577348,Fruits and Vegetables,85.7,96.0,96.0,2025-07-19 20:07:59
BRP79,500,0.129086113,Breads,89.5,142.0,142.0,2025-07-19 20:07:59
SDA62,330,0.113125627,Soft Drinks,38.7,195.0,195.0,2025-07-19 20:07:59
MEP57,300,0.151467821,Meat,154.1,200.0,200.0,2025-07-19 20:07:59
DAD50,1000,0.120139206,Dairy,45.1,219.0,219.0,2025-07-19 20:07:59
HOZ22,500,0.120497266,Household,162.3,125.0,125.0,2025-07-19 20:07:59
FVL86,500,0.122657336,Fruits and Vegetables,110.2,169.0,169.0,2025-07-19 20:07:59
FVS38,300,0.159587755,Fruits and Vegetables,145.3,142.0,142.0,2025-07-19 20:07:59
DAR07,1000,0.136810742,Dairy,263.1,198.0,198.0,2025-07-19 20:07:59
FRT44,400,0.128682722,Frozen Foods,178.4,228.0,228.0,2025-07-19 20:07:59
FVV16,500,0.109459733,Fruits and Vegetables,84.2,201.0,201.0,2025-07-19 20:07:59
MEM35,1000,0.096644015,Meat,132.0,105.0,105.0,2025-07-19 20:07:59
HOL92,500,0.184843579,Household,33.1,268.0,268.0,2025-07-19 20:07:59
FVQ58,1000,0.122896411,Fruits and Vegetables,111.2,208.0,208.0,2025-07-19 20:07:59
SDT50,330,0.161350176,Soft Drinks,196.7,267.0,267.0,2025-07-19 20:07:59
FVE26,200,0.106968096,Fruits and Vegetables,142.7,195.0,195.0,2025-07-19 20:07:59
SDY80,500,0.159582185,Soft Drinks,224.8,172.0,172.0,2025-07-19 20:07:59
CAK08,800,0.14453827,Canned,180.6,147.0,147.0,2025-07-19 20:07:59
MET72,500,0.172309903,Meat,98.2,194.0,194.0,2025-07-19 20:07:59
FVC26,1000,0.173516063,Fruits and Vegetables,128.2,247.0,247.0,2025-07-19 20:07:59
BAV28,250,0.12898088,Baking Goods,250.5,167.0,167.0,2025-07-19 20:07:59
FRZ52,400,0.13093275,Frozen Foods,86.9,86.0,86.0,2025-07-19 20:07:59
FVD78,500,0.098464979,Fruits and Vegetables,188.7,94.0,94.0,2025-07-19 20:07:59
BRM11,250,0.110681931,Breads,63.3,176.0,176.0,2025-07-19 20:07:59
BAJ63,500,0.112985849,Baking Goods,185.4,164.0,164.0,2025-07-19 20:07:59
DAC15,500,0.11411709,Dairy,92.7,78.0,78.0,2025-07-19 20:07:59
DAK47,500,0.175033524,Dairy,55.5,80.0,80.0,2025-07-19 20:07:59
SFQ58,75,0.154627247,Snack Foods,177.6,60.0,60.0,2025-07-19 20:07:59
HDX16,500,0.205294827,Hard Drinks,172.8,206.0,206.0,2025-07-19 20:07:59
CAS61,400,0.152261999,Canned,105.7,230.0,230.0,2025-07-19 20:07:59
SFD19,100,0.136275173,Snack Foods,128.2,203.0,203.0,2025-07-19 20:07:59
SFO51,30,0.174621343,Snack Foods,104.3,80.0,80.0,2025-07-19 20:07:59
SFV12,75,0.163350221,Snack Foods,120.2,80.0,80.0,2025-07-19 20:07:59
BKN80,400,0.105994654,Breakfast,150.6,201.0,201.0,2025-07-19 20:07:59
SFD56,50,0.107376743,Snack Foods,147.6,65.0,65.0,2025-07-19 20:07:59
FVM94,1000,0.118672537,Fruits and Vegetables,192.2,203.0,203.0,2025-07-19 20:07:59
CAA12,800,0.126897925,Canned,110.7,77.0,77.0,2025-07-19 20:07:59
SFT03,100,0.108710162,Snack Foods,161.8,108.0,108.0,2025-07-19 20:07:59
FVI18,1000,0.15528831,Fruits and Vegetables,241.8,78.0,78.0,2025-07-19 20:07:59
HOI92,750,0.108010006,Household,33.4,245.0,245.0,2025-07-19 20:07:59
CAU67,400,0.104421237,Canned,80.2,152.0,152.0,2025-07-19 20:07:59
CAV37,800,0.126359196,Canned,109.3,207.0,207.0,2025-07-19 20:07:59
FVW06,500,0.161355122,Fruits and Vegetables,38.3,225.0,225.0,2025-07-19 20:07:59
HOH57,750,0.118651919,Household,264.0,157.0,157.0,2025-07-19 20:07:59
HHE51,100,0.112728355,Health and Hygiene,65.8,253.0,253.0,2025-07-19 20:07:59
HHI90,250,0.156094569,Health and Hygiene,144.3,218.0,218.0,2025-07-19 20:07:59
CAK63,800,0.104933928,Canned,78.8,141.0,141.0,2025-07-19 20:07:59
CAY41,800,0.12341737,Canned,86.0,159.0,159.0,2025-07-19 20:07:59
SFW13,100,0.139417654,Snack Foods,147.5,168.0,168.0,2025-07-19 20:07:59
HDI15,700,0.122058364,Hard Drinks,172.8,66.0,66.0,2025-07-19 20:07:59
SFU62,30,0.125528734,Snack Foods,262.2,294.0,294.0,2025-07-19 20:07:59
HDC21,700,0.162980276,Hard Drinks,145.2,144.0,144.0,2025-07-19 20:07:59
FVR11,1000,0.147663025,Fruits and Vegetables,106.0,93.0,93.0,2025-07-19 20:07:59
SFE29,100,0.107834541,Snack Foods,146.5,108.0,108.0,2025-07-19 20:07:59
BRR64,800,0.146399663,Breads,93.8,216.0,216.0,2025-07-19 20:07:59
SFC64,100,0.122221269,Snack Foods,45.9,72.0,72.0,2025-07-19 20:07:59
HDD93,1000,0.171281641,Hard Drinks,54.1,260.0,260.0,2025-07-19 20:07:59
HHM20,100,0.126765903,Health and Hygiene,35.8,291.0,291.0,2025-07-19 20:07:59
BAI83,500,0.14061104,Baking Goods,49.8,196.0,196.0,2025-07-19 20:07:59
STD15,400,0.122242847,Starchy Foods,207.6,208.0,208.0,2025-07-19 20:07:59
DAI09,1000,0.132560174,Dairy,97.3,239.0,239.0,2025-07-19 20:07:59
HOC66,500,0.186445212,Household,255.6,121.0,121.0,2025-07-19 20:07:59
BKK23,400,0.098606543,Breakfast,232.7,113.0,113.0,2025-07-19 20:07:59
HOC72,1000,0.125222705,Household,113.4,169.0,169.0,2025-07-19 20:07:59
HON91,1000,0.099428487,Household,187.9,87.0,87.0,2025-07-19 20:07:59
SFZ30,30,0.103793399,Snack Foods,110.2,212.0,212.0,2025-07-19 20:07:59
SFI53,100,0.111419588,Snack Foods,154.4,194.0,194.0,2025-07-19 20:07:59
BRY67,800,0.106051405,Breads,124.4,182.0,182.0,2025-07-19 20:07:59
SFX59,50,0.099962524,Snack Foods,193.8,265.0,265.0,2025-07-19 20:07:59
HHI82,250,0.143713508,Health and Hygiene,96.6,62.0,62.0,2025-07-19 20:07:59
FVF53,300,0.099747488,Fruits and Vegetables,75.2,93.0,93.0,2025-07-19 20:07:59
HON23,750,0.148938624,Household,192.0,132.0,132.0,2025-07-19 20:07:59
CAI72,800,0.113669629,Canned,89.0,161.0,161.0,2025-07-19 20:07:59
CAZ50,800,0.182236555,Canned,107.2,169.0,169.0,2025-07-19 20:07:59
BAP14,250,0.176069023,Baking Goods,156.8,224.0,224.0,2025-07-19 20:07:59
FRB98,1000,0.105573769,Frozen Foods,144.0,247.0,247.0,2025-07-19 20:07:59
FVU94,1000,0.172042892,Fruits and Vegetables,140.0,92.0,92.0,2025-07-19 20:07:59
CAT75,400,0.097866209,Canned,51.1,120.0,120.0,2025-07-19 20:07:59
MEN09,1000,0.156269303,Meat,159.7,110.0,110.0,2025-07-19 20:07:59
SFZ47,100,0.247321039,Snack Foods,152.4,90.0,90.0,2025-07-19 20:07:59
SFQ43,50,0.11207602,Snack Foods,58.0,166.0,166.0,2025-07-19 20:07:59
FVD35,300,0.145631695,Fruits and Vegetables,172.8,92.0,92.0,2025-07-19 20:07:59
SDF08,1000,0.171417316,Soft Drinks,173.1,202.0,202.0,2025-07-19 20:07:59
DAX45,500,0.170795745,Dairy,154.5,219.0,219.0,2025-07-19 20:07:59
FVM92,300,0.161489509,Fruits and Vegetables,37.6,105.0,105.0,2025-07-19 20:07:59
FRT15,1500,0.150319469,Frozen Foods,156.9,114.0,114.0,2025-07-19 20:07:59
SFP20,50,0.111613921,Snack Foods,152.7,243.0,243.0,2025-07-19 20:07:59
SED74,500,0.140524691,Seafood,172.8,107.0,107.0,2025-07-19 20:07:59
HOU63,500,0.113694957,Household,253.5,161.0,161.0,2025-07-19 20:07:59
DAG88,500,0.097043739,Dairy,57.5,265.0,265.0,2025-07-19 20:07:59
CAD76,800,0.102704495,Canned,94.3,111.0,111.0,2025-07-19 20:07:59
HOX51,1500,0.163910938,Household,119.2,158.0,158.0,2025-07-19 20:07:59
FVU32,500,0.214139786,Fruits and Vegetables,102.4,61.0,61.0,2025-07-19 20:07:59
SDF23,1000,0.109075742,Soft Drinks,42.9,155.0,155.0,2025-07-19 20:07:59
HOX22,1500,0.14781046,Household,234.9,189.0,189.0,2025-07-19 20:07:59
CAC29,800,0.16102755,Canned,254.1,128.0,128.0,2025-07-19 20:07:59
SFP73,100,0.174317307,Snack Foods,106.8,220.0,220.0,2025-07-19 20:07:59
HDV72,700,0.135707553,Hard Drinks,170.6,101.0,101.0,2025-07-19 20:07:59
